,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,b_0,d_0,f_0,h_0,a_0,e_0,g_0
d_1,1.06,2.62,2.39,2.09,2.23,1.9,0.73,0.58,0.83,0.69,1.1,0.64,0.45,0.54,0.57,0.37
f_1,2.06,1.06,2.51,2.52,1.94,2.07,0.71,0.96,0.66,0.63,0.74,0.67,0.46,0.58,0.56,0.55
e_1,2.62,1.51,1.06,2.54,2.36,1.8,1.07,0.98,0.76,0.7,0.8,0.8,0.6,0.74,1.27,0.61
c_1,3.04,2.63,2.0,1.06,3.08,1.99,0.89,0.95,1.0,0.65,0.42,0.67,0.57,0.68,0.55,0.55
b_1,2.68,3.1,2.62,1.56,1.07,4.07,1.1,1.03,0.94,1.17,0.83,0.66,0.66,0.76,0.71,0.55
a_1,3.48,3.13,3.82,3.99,1.69,1.07,1.63,1.37,1.03,1.34,1.29,1.04,1.01,1.88,1.05,0.77
h_1,6.43,6.32,5.64,6.2,5.46,4.39,1.34,2.34,1.79,1.67,1.54,1.75,1.47,1.5,1.64,1.25
g_1,6.93,7.47,7.09,6.17,6.98,5.63,1.93,1.34,1.98,1.76,1.84,2.11,1.26,1.76,1.52,1.63
c_0,4.08,8.33,7.53,10.92,6.17,6.28,2.87,2.38,1.49,2.5,2.38,2.26,1.72,2.25,1.98,1.51
b_0,6.59,7.77,7.7,9.55,9.89,5.07,2.85,3.06,1.35,1.55,2.36,2.09,1.71,1.93,1.84,1.55
d_0,10.91,7.52,4.69,8.67,8.89,5.8,3.66,3.43,2.16,2.21,1.59,2.27,1.84,2.0,2.44,1.8
f_0,7.64,16.57,8.19,7.84,8.02,8.34,3.36,2.16,2.22,2.39,2.31,1.57,1.91,2.01,2.81,1.28
h_0,9.35,11.37,8.97,9.94,9.09,6.18,5.19,3.39,2.52,2.63,2.63,2.47,2.77,2.19,2.33,2.34
a_0,9.86,10.24,9.34,9.82,10.1,9.79,3.89,3.9,2.53,1.97,2.72,3.38,2.47,1.57,2.28,2.61
e_0,8.73,12.85,15.21,11.79,9.88,7.56,3.63,3.71,3.03,2.97,2.67,1.59,2.16,2.91,1.59,2.1
g_0,11.27,12.84,12.07,12.68,10.4,10.08,3.32,6.28,3.54,3.9,3.23,3.47,2.21,2.39,2.97,2.96
