,f_1,d_1,e_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.0,0.89,1.34,0.93,0.91,0.58,0.5,0.42,0.48,0.42,0.46,,0.22,0.31,0.25,0.33
d_1,1.12,1.0,0.83,0.89,0.81,0.71,0.67,,0.39,0.65,0.36,0.34,0.39,0.34,0.31,0.27
e_1,0.75,1.21,1.0,0.82,0.96,0.86,0.41,0.65,0.45,0.42,0.4,0.36,0.4,0.29,,0.39
c_1,1.08,1.12,1.22,1.0,1.43,1.01,0.43,0.29,0.61,,0.37,0.44,0.4,0.35,0.28,0.33
b_1,1.1,1.23,1.05,0.7,1.0,1.06,0.71,0.47,0.39,0.47,,0.38,0.45,0.35,,0.35
a_1,1.73,1.4,1.17,0.99,0.94,1.0,0.71,0.62,0.61,0.57,0.55,0.45,0.48,,,0.33
h_1,2.01,1.5,2.42,2.32,1.4,1.41,1.0,0.86,0.98,0.98,0.78,0.8,,0.66,0.68,0.78
d_0,2.39,,1.54,3.48,2.11,1.6,1.16,1.0,0.8,0.88,0.91,0.73,0.79,0.82,0.68,0.86
g_1,2.09,2.56,2.2,1.64,2.59,1.65,1.02,1.25,1.0,0.93,0.97,0.97,0.63,0.82,0.83,
c_0,2.4,1.53,2.4,,2.11,1.74,1.02,1.14,1.08,1.0,1.5,0.96,0.95,0.68,0.6,0.72
b_0,2.16,2.75,2.48,2.7,,1.82,1.28,1.1,1.03,0.67,1.0,0.9,0.92,1.18,1.1,0.65
f_0,,2.97,2.79,2.25,2.63,2.23,1.25,1.37,1.03,1.04,1.11,1.0,0.88,1.01,0.88,0.58
h_0,4.51,2.59,2.51,2.49,2.22,2.07,,1.27,1.58,1.05,1.09,1.14,,0.62,0.84,1.08
a_0,3.2,2.95,3.44,2.88,2.84,,1.52,1.22,1.23,1.47,0.84,0.99,1.62,1.0,,0.95
e_0,4.02,3.28,,3.6,,,1.47,1.47,1.2,1.67,0.91,1.14,1.19,,1.0,0.99
g_0,3.0,3.68,2.59,3.05,2.83,3.05,1.29,1.16,,1.4,1.54,1.71,0.92,1.06,1.01,
