,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
f_1,0.18,11.89,12.44,11.92,14.19,16.27,2.6,4.89,2.82,2.01,2.48,,2.69,1.29,2.04,2.23
e_1,7.76,0.17,14.3,13.93,13.34,14.49,3.5,3.37,2.22,2.8,3.23,2.79,2.02,1.9,,2.19
d_1,16.1,12.55,0.17,22.51,11.58,11.24,3.73,2.2,2.83,,2.42,2.39,2.12,1.45,3.29,1.03
c_1,11.64,12.77,9.38,0.15,14.47,12.04,3.23,5.9,,1.37,3.34,2.97,2.65,1.97,2.24,2.11
b_1,12.94,14.26,16.21,6.46,0.13,11.41,3.28,4.69,3.12,2.7,,1.98,3.67,1.49,3.02,1.9
a_1,13.31,19.67,11.24,12.68,8.03,0.09,3.08,3.12,2.17,2.55,,,,2.27,,1.94
h_1,2.93,4.31,3.42,2.9,2.12,3.08,0.07,0.96,0.73,0.71,0.59,0.87,0.68,,0.7,0.46
g_1,3.71,2.89,3.0,3.69,3.32,3.79,0.83,0.06,0.87,0.81,0.73,0.75,0.62,0.33,0.74,
c_0,2.82,2.12,1.73,,2.88,2.77,0.73,0.61,0.08,0.52,0.51,0.57,0.73,0.37,0.44,0.34
d_0,2.34,1.57,,3.85,2.6,2.11,0.71,0.74,0.52,0.08,0.42,0.4,0.49,0.36,0.79,0.34
b_0,2.29,2.33,2.94,2.53,,,0.71,0.95,0.25,0.53,0.07,0.42,0.61,0.54,0.66,0.55
f_0,,2.52,3.33,2.53,2.2,,0.92,0.54,0.52,0.53,0.73,0.06,0.47,0.33,0.44,0.16
a_0,2.58,2.43,2.83,3.12,3.67,,0.55,0.73,0.58,0.44,0.28,0.64,0.05,0.37,,0.37
h_0,1.54,1.96,1.61,1.47,1.91,1.67,,0.38,0.37,0.37,0.28,0.45,0.23,,0.22,0.31
e_0,3.36,,2.77,2.24,2.82,,0.7,0.43,0.61,0.86,0.57,0.25,,0.33,0.04,0.38
g_0,2.33,3.71,1.43,1.41,2.37,1.49,0.34,,0.36,0.3,0.3,0.33,0.51,0.15,0.38,
