,f_1,e_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,5.78,4.61,2.88,2.79,2.25,2.61,9.91,10.01,13.96,13.02,13.13,9.21,18.11,13.73,18.48,10.82
e_1,2.99,6.12,3.52,2.59,3.01,2.88,10.3,9.87,21.27,13.32,13.37,11.97,20.75,14.02,20.5,10.85
c_1,2.8,2.49,6.48,2.47,5.13,3.05,10.6,10.18,11.82,8.48,8.95,13.31,18.29,12.88,19.58,13.94
d_1,3.02,2.88,2.19,6.85,2.51,2.89,10.92,12.09,9.38,24.01,17.7,15.36,21.66,15.13,22.39,16.24
b_1,3.09,2.38,3.09,2.61,7.95,5.37,10.79,10.04,11.99,11.84,9.75,12.74,19.82,10.02,21.03,12.16
a_1,3.24,2.64,2.88,2.67,2.86,11.44,11.0,10.02,12.92,12.48,12.6,11.78,21.73,10.58,21.59,10.66
h_1,3.87,2.9,2.64,3.4,2.67,2.84,19.19,11.99,12.62,13.33,15.9,11.88,18.48,14.15,26.45,13.98
g_1,2.69,2.79,2.75,4.35,2.74,2.97,11.52,21.88,13.12,15.22,16.79,20.39,22.86,17.45,20.27,19.5
d_0,2.82,2.65,5.07,2.28,3.53,2.45,11.14,12.35,19.52,9.73,12.77,15.34,20.63,14.87,19.73,16.83
c_0,3.1,3.1,2.7,3.52,2.16,3.22,10.63,12.04,14.87,21.96,27.79,16.04,25.65,21.32,26.88,19.59
b_0,3.24,3.13,2.9,3.75,1.92,3.05,11.65,12.66,12.77,15.97,24.73,15.12,22.9,30.21,25.82,19.25
f_0,2.79,2.35,3.04,3.66,2.96,2.65,12.05,13.46,14.52,17.47,17.93,25.92,26.4,18.19,25.27,34.58
h_0,3.58,2.86,3.07,3.43,3.0,2.72,9.36,15.05,12.82,14.76,15.56,14.36,16.32,15.49,25.41,15.98
a_0,3.25,3.15,3.21,3.5,2.6,1.9,12.0,12.91,12.06,12.81,15.85,16.57,22.24,30.0,22.59,19.83
g_0,2.98,2.62,2.79,4.47,2.8,2.79,11.04,10.59,10.07,14.33,16.86,21.55,21.8,16.39,18.14,20.34
e_0,2.89,2.22,3.13,3.31,3.6,3.11,11.86,13.0,13.88,13.74,19.39,16.0,24.82,16.31,22.91,36.58
