,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,1.0,1.34,1.1,1.23,1.72,3.35,12.42,28.83,26.8,25.29,41.81,48.23,61.91,87.73,109.82,94.93
e_1,0.74,1.0,1.02,1.57,1.76,3.4,17.13,37.89,33.26,30.37,42.45,55.24,72.02,81.13,107.64,112.31
d_1,0.92,0.97,1.0,0.91,1.43,3.34,13.07,27.01,20.32,34.42,38.69,44.4,67.25,68.19,71.76,87.13
c_1,0.82,0.63,1.09,1.0,1.74,2.96,10.9,15.53,25.37,18.52,29.42,40.46,64.54,67.44,67.74,81.01
b_1,0.58,0.57,0.7,0.59,1.0,3.23,9.17,17.24,19.42,21.26,26.56,28.48,40.85,41.66,61.04,63.16
a_1,0.3,0.29,0.3,0.34,0.31,1.0,4.8,8.57,8.54,8.5,15.0,14.14,22.5,24.25,24.41,26.57
h_1,0.08,0.06,0.08,0.09,0.11,0.2,1.0,1.77,2.37,1.87,2.48,2.86,5.1,4.85,7.97,5.52
d_0,0.03,0.03,0.04,0.07,0.06,0.11,0.56,1.0,1.17,0.89,1.36,1.88,2.82,2.44,3.97,3.85
g_1,0.04,0.03,0.05,0.04,0.05,0.12,0.43,0.89,1.0,1.01,1.42,2.03,2.0,2.38,3.14,3.17
c_0,0.04,0.03,0.03,0.05,0.04,0.12,0.51,1.13,0.96,1.0,2.02,1.58,2.71,3.24,3.84,3.46
b_0,0.02,0.02,0.03,0.03,0.04,0.06,0.41,0.77,0.69,0.51,1.0,1.18,1.73,2.72,2.35,2.19
f_0,0.02,0.02,0.02,0.02,0.04,0.07,0.35,0.57,0.49,0.59,0.89,1.0,1.56,1.59,1.53,2.91
h_0,0.02,0.01,0.02,0.02,0.02,0.05,0.2,0.36,0.5,0.36,0.59,0.64,1.0,1.02,1.47,1.15
a_0,0.01,0.01,0.01,0.02,0.02,0.04,0.21,0.4,0.39,0.31,0.37,0.63,1.01,1.0,1.15,1.36
g_0,0.01,0.01,0.01,0.01,0.02,0.04,0.13,0.26,0.31,0.26,0.42,0.65,0.68,0.8,1.0,1.06
e_0,0.01,0.01,0.01,0.01,0.02,0.04,0.18,0.27,0.32,0.28,0.41,0.35,0.88,0.83,0.92,1.0
