,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,g_0,a_0
e_1,1.0,0.73,0.91,1.26,1.0,0.73,0.48,0.49,0.59,0.43,0.48,0.41,0.35,0.36,0.37,0.35
f_1,1.37,1.0,0.89,0.9,0.91,0.63,0.44,0.5,0.41,0.4,0.39,0.4,0.31,0.29,0.3,0.3
d_1,1.1,1.14,1.0,0.91,0.86,0.73,0.51,0.37,0.52,0.52,0.4,0.45,0.35,0.35,0.31,0.34
c_1,0.8,1.12,1.1,1.0,1.24,0.82,0.5,0.42,0.31,0.3,0.39,0.34,0.35,0.32,0.31,0.3
b_1,1.0,1.1,1.16,0.81,1.0,1.12,0.53,0.51,0.47,0.5,0.38,0.38,0.45,0.38,0.36,0.36
a_1,1.37,1.56,1.36,1.24,0.89,1.0,0.7,0.71,0.57,0.63,0.59,0.55,0.48,0.39,0.44,0.44
h_1,2.03,2.36,2.01,1.99,1.94,1.37,1.0,1.04,0.84,0.85,0.8,0.83,0.75,0.55,0.74,0.61
g_1,2.0,1.98,2.63,2.37,1.95,1.46,0.94,1.0,0.82,0.88,1.18,0.94,0.68,0.79,0.69,0.63
d_0,1.69,2.45,1.82,3.15,2.01,1.69,1.18,1.18,1.0,0.83,1.04,0.81,0.82,0.8,0.78,0.77
c_0,2.43,2.44,1.89,3.07,1.96,1.59,1.19,1.2,1.17,1.0,1.08,1.36,0.91,0.85,0.77,0.88
f_0,2.01,2.77,2.44,2.54,2.58,1.78,1.17,0.86,0.98,0.97,1.0,0.91,0.83,1.24,0.63,0.82
b_0,2.52,2.5,2.19,3.0,2.6,1.84,1.2,1.11,1.22,0.71,1.12,1.0,0.97,0.89,0.91,1.11
h_0,2.74,3.2,2.98,2.78,2.3,2.05,1.33,1.45,1.14,1.05,1.25,1.01,1.0,0.88,1.09,0.85
e_0,2.64,3.73,2.99,3.08,2.42,2.49,1.68,1.26,1.42,1.21,0.78,1.08,1.19,1.0,0.92,0.8
g_0,2.9,3.17,3.4,3.15,2.67,2.12,1.35,1.51,1.22,1.23,1.54,1.15,0.89,1.11,1.0,0.95
a_0,2.88,3.32,3.09,3.21,2.99,2.1,1.64,1.61,1.2,1.16,1.21,0.9,1.17,1.15,1.05,1.0
