,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,b_0,d_0,f_0,h_0,a_0,e_0,g_0
d_1,0.93,0.1,0.1,0.09,0.1,0.07,0.07,0.06,0.12,0.05,,0.06,0.06,0.04,0.04,0.04
f_1,0.11,0.93,0.17,0.08,0.09,0.08,0.07,0.06,0.07,0.08,0.06,,0.04,0.04,0.04,0.05
e_1,0.09,0.09,0.93,0.09,0.1,0.08,0.08,0.06,0.07,0.06,0.11,0.05,0.06,0.04,,0.05
c_1,0.11,0.11,0.13,0.93,0.12,0.05,0.07,0.06,,0.05,0.07,0.06,0.06,0.05,0.04,0.06
b_1,0.09,0.14,0.11,0.08,0.93,0.17,0.08,0.05,0.09,,0.06,0.05,0.07,0.06,,0.04
a_1,0.11,0.14,0.11,0.13,0.06,0.93,0.09,0.05,0.08,0.09,0.08,0.06,0.1,,0.05,0.04
h_1,0.33,0.35,0.24,0.3,0.24,0.18,0.71,0.24,0.19,0.17,0.12,0.15,,0.12,0.12,0.19
g_1,0.42,0.28,0.25,0.28,0.31,0.2,0.15,0.71,0.18,0.18,0.18,0.19,0.22,0.14,0.11,
c_0,0.25,0.32,0.34,,0.22,0.25,0.23,0.24,0.59,0.35,0.17,0.24,0.22,0.18,0.14,0.17
b_0,0.45,0.33,0.34,0.36,,0.17,0.25,0.22,0.23,0.58,0.26,0.22,0.18,0.25,0.14,0.15
d_0,,0.38,0.35,0.55,0.28,0.21,0.28,0.2,0.22,0.18,0.56,0.22,0.24,0.19,0.17,0.16
f_0,0.35,,0.37,0.35,0.42,0.26,0.27,0.25,0.2,0.22,0.19,0.57,0.22,0.12,,0.16
h_0,0.54,0.53,0.46,0.46,0.38,0.27,,0.28,0.32,0.4,0.28,0.25,,0.18,0.24,0.26
a_0,0.38,0.44,0.32,0.33,0.27,,0.33,0.24,0.22,0.18,0.2,0.29,0.27,0.59,,0.3
e_0,0.41,0.39,,0.4,,0.29,0.27,0.31,0.27,0.23,0.21,,0.25,,0.59,0.2
g_0,0.72,0.48,0.41,0.37,0.52,0.36,0.31,,0.35,0.31,0.35,0.41,0.27,0.16,0.22,
