,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,a_0,h_0,g_0,e_0
e_1,1.15,52.76,88.61,77.26,65.88,106.41,21.7,20.11,22.33,16.38,24.0,19.93,27.38,13.97,10.18,
f_1,76.21,1.15,93.53,79.15,67.52,113.06,17.36,46.5,19.14,18.71,14.29,,14.13,7.73,24.0,19.41
d_1,98.86,76.34,1.15,147.5,84.41,95.21,32.15,18.6,,15.6,20.0,13.95,16.85,11.39,11.2,
c_1,114.31,102.51,116.1,1.15,93.14,100.5,22.26,23.25,10.0,,19.35,15.5,25.76,13.97,17.68,18.33
b_1,152.42,138.0,112.23,61.23,1.15,100.5,28.0,27.56,23.1,29.77,,32.82,29.2,14.43,17.68,18.33
a_1,228.62,170.86,134.68,231.79,117.43,1.15,,37.2,44.67,36.39,31.58,29.37,,25.47,21.0,
h_1,87.1,83.44,80.17,87.7,117.43,,2.0,23.25,15.95,22.59,19.35,19.24,14.6,,19.76,18.33
g_1,135.48,128.14,112.23,101.41,142.16,113.06,23.46,2.0,22.33,18.71,20.0,21.46,27.38,13.12,,25.38
d_0,51.52,112.12,,95.44,93.14,86.14,25.53,32.35,2.95,21.83,19.35,19.93,14.6,13.12,12.92,16.5
c_0,77.83,102.51,46.12,,158.88,78.65,28.93,27.56,31.9,2.91,20.69,32.82,19.04,11.7,10.18,18.33
b_0,89.22,78.0,108.61,141.09,,129.21,28.93,41.33,20.3,13.1,2.99,18.0,24.33,19.68,14.61,17.37
f_0,140.69,,153.05,129.8,87.13,164.45,36.17,15.83,17.63,19.26,22.22,2.98,25.76,36.08,8.0,22.0
a_0,215.18,138.0,160.33,162.25,180.07,,45.68,43.76,31.9,31.19,21.43,39.86,2.81,12.74,16.0,
h_0,104.51,115.74,84.18,75.47,87.13,78.65,,49.6,18.11,18.71,17.14,15.5,33.69,,10.5,12.22
g_0,159.04,132.89,146.39,141.09,192.93,164.45,21.7,,22.33,24.26,20.69,27.9,31.29,10.07,,27.5
e_0,,299.0,,135.21,180.07,,37.74,37.2,44.67,54.58,50.0,18.6,,27.06,30.55,3.3
