,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,2.41,1.21,0.69,0.78,0.77,0.81,1.34,1.3,1.54,1.39,1.62,0.77,1.98,1.48,1.44,1.96
e_1,0.69,2.45,0.66,0.84,0.76,0.72,1.69,1.76,1.53,2.86,1.88,1.77,2.51,1.61,0.86,2.12
d_1,0.76,0.74,2.53,0.6,0.77,0.76,1.61,2.78,1.25,1.24,1.88,2.16,2.07,1.76,2.05,1.84
c_1,0.83,0.68,0.93,2.57,1.18,0.55,1.28,0.61,1.4,1.38,1.61,1.92,2.03,1.59,1.48,2.06
b_1,0.76,0.73,0.74,0.68,2.64,1.39,1.49,1.51,1.71,1.54,0.95,1.69,2.23,1.33,1.85,2.31
a_1,0.68,0.67,0.85,0.95,0.54,3.26,1.88,2.2,1.76,1.78,1.93,1.44,2.56,1.21,1.7,1.98
h_1,1.26,0.92,1.05,0.99,1.07,0.95,3.87,1.82,2.04,2.16,2.28,2.02,1.47,1.99,1.73,3.11
c_0,1.29,1.04,1.06,0.84,0.89,0.88,2.2,3.68,1.58,2.3,3.95,2.35,2.36,2.56,2.83,2.44
g_1,0.93,0.9,1.62,0.98,0.82,0.87,1.82,2.38,4.42,2.0,1.73,3.11,2.55,2.66,2.07,2.22
d_0,1.3,0.86,0.41,1.78,0.98,1.08,1.69,1.97,1.81,3.74,2.07,1.68,2.41,2.31,1.76,2.71
b_0,1.26,1.15,1.04,1.12,0.64,0.72,1.34,1.82,2.32,2.34,3.97,2.27,2.9,4.51,2.64,3.52
f_0,0.66,0.97,1.04,1.13,1.22,1.11,1.95,2.03,1.74,2.57,2.27,4.09,2.68,2.35,4.23,2.26
h_0,1.42,0.81,1.05,0.98,0.95,0.95,1.24,2.27,2.42,2.68,2.5,1.92,1.82,2.52,2.26,3.79
a_0,1.19,1.04,0.99,1.21,1.09,,2.09,2.13,1.76,2.33,1.86,2.26,2.17,4.76,2.48,2.96
e_0,1.24,0.61,1.01,1.29,1.2,0.74,2.25,2.0,2.28,2.61,2.53,1.63,2.52,2.38,5.04,3.64
g_0,0.95,0.96,1.6,1.12,0.95,0.83,2.14,2.17,,2.12,1.56,3.3,1.95,2.29,2.02,1.89
