,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,a_0,g_0,e_0
e_1,2.22,0.03,0.03,0.02,0.03,0.02,0.03,0.13,0.06,0.06,0.06,0.04,0.07,0.04,0.08,
f_1,0.06,2.28,0.03,0.02,0.02,0.03,0.06,0.06,0.04,0.08,,0.05,0.07,0.03,0.06,0.04
c_1,0.03,0.03,2.36,0.03,0.05,0.02,0.05,0.07,0.04,,0.07,0.05,0.09,0.03,0.09,0.03
d_1,0.03,0.03,0.02,2.38,0.03,0.02,0.06,,0.05,0.11,0.05,0.05,0.09,0.04,0.09,0.05
b_1,0.03,0.02,0.03,0.03,2.51,0.05,0.05,0.04,0.06,0.05,0.07,,0.12,,0.06,0.04
a_1,0.03,0.02,0.03,0.03,0.03,2.93,0.05,0.06,0.05,0.07,0.07,,0.07,,0.06,
h_1,0.09,0.14,0.12,0.12,0.09,0.08,2.63,0.29,0.24,0.23,0.23,0.22,,0.12,0.3,0.19
d_0,0.15,0.14,0.25,,0.13,0.12,0.33,2.01,0.2,0.24,0.33,0.27,0.31,0.29,0.29,0.24
g_1,0.12,0.08,0.11,0.16,0.1,0.13,0.2,0.21,2.99,0.15,0.29,0.2,0.25,,,
c_0,0.14,0.14,,0.15,0.14,0.07,0.29,0.29,0.19,2.12,0.32,0.62,0.46,0.2,0.35,0.17
f_0,0.13,,0.17,0.13,0.08,0.11,0.37,0.37,0.29,0.27,2.08,0.3,0.48,0.27,0.25,0.52
b_0,0.14,0.15,0.12,0.14,,,0.37,0.32,0.19,0.28,0.27,2.35,0.45,0.47,0.33,
h_0,0.19,0.38,0.18,0.24,0.22,0.13,,0.47,0.51,0.56,0.25,0.46,,0.38,0.6,0.26
a_0,0.14,0.18,0.1,0.14,,,0.32,0.43,,0.28,0.36,0.25,0.46,2.78,0.31,
g_0,0.2,0.21,0.16,0.34,0.27,0.13,0.37,0.37,,0.49,0.67,0.36,0.38,0.36,,0.49
e_0,,0.19,0.14,0.13,0.14,,0.26,0.4,,0.45,0.32,,0.37,,0.35,2.78
