,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
e_1,1.0,0.88,1.32,1.64,2.07,3.87,21.05,30.32,39.46,34.58,47.62,54.72,83.21,104.78,138.72,159.41
f_1,1.12,1.0,1.21,1.34,1.71,3.74,16.15,27.48,29.93,29.75,43.61,40.53,65.85,94.69,118.0,116.63
d_1,0.76,0.82,1.0,0.96,1.29,2.92,15.67,18.14,22.4,33.78,36.02,34.85,60.88,68.63,83.21,105.55
c_1,0.61,0.76,1.03,1.0,1.93,3.05,14.68,21.07,16.38,23.06,27.07,31.92,58.88,69.11,87.82,100.74
b_1,0.48,0.59,0.73,0.52,1.0,2.92,10.17,15.21,13.21,19.62,25.0,23.73,42.95,48.74,71.56,71.11
a_1,0.25,0.27,0.35,0.34,0.35,1.0,5.71,6.61,8.02,8.86,13.11,11.9,21.93,25.79,33.28,36.6
h_1,0.05,0.06,0.07,0.07,0.09,0.19,1.0,1.56,1.46,1.51,2.24,2.2,3.98,4.84,7.26,6.79
g_1,0.03,0.04,0.06,0.05,0.06,0.15,0.65,1.0,0.93,1.11,1.51,1.91,2.49,3.31,4.5,5.12
d_0,0.03,0.03,0.04,0.06,0.08,0.12,0.68,1.03,1.0,1.01,1.52,1.59,3.21,3.23,4.97,5.04
c_0,0.03,0.03,0.03,0.04,0.05,0.11,0.62,0.89,0.94,1.0,1.82,1.31,2.46,3.0,3.83,4.64
b_0,0.02,0.02,0.03,0.04,0.04,0.07,0.44,0.67,0.66,0.55,1.0,1.04,1.71,2.88,2.77,3.31
f_0,0.02,0.02,0.03,0.03,0.04,0.08,0.45,0.52,0.61,0.75,0.95,1.0,1.86,2.25,2.52,4.39
h_0,0.01,0.01,0.02,0.02,0.02,0.04,0.24,0.41,0.32,0.4,0.58,0.54,1.0,1.16,1.9,1.65
a_0,0.01,0.01,0.01,0.02,0.02,0.04,0.21,0.3,0.31,0.31,0.38,0.51,0.92,1.0,1.32,1.35
g_0,0.01,0.01,0.01,0.01,0.01,0.03,0.13,0.22,0.21,0.25,0.35,0.41,0.54,0.76,1.0,1.08
e_0,0.01,0.01,0.01,0.01,0.01,0.03,0.15,0.19,0.19,0.22,0.32,0.24,0.61,0.67,0.83,1.0
