,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,5.89,2.77,3.75,2.44,2.73,2.55,10.15,21.78,10.01,12.1,13.28,14.45,21.56,15.36,12.32,20.84
f_1,4.47,6.31,2.76,2.74,2.34,2.76,9.58,13.81,9.11,11.72,13.13,8.62,17.73,13.27,9.47,18.68
c_1,2.61,2.82,6.44,2.58,4.83,3.11,10.62,11.26,8.91,8.17,9.05,11.93,18.49,12.57,14.23,20.46
d_1,2.73,2.92,2.18,6.95,2.6,2.83,10.01,8.75,12.06,22.4,17.12,14.82,22.55,17.86,15.38,21.98
b_1,2.39,2.77,2.75,2.67,7.77,5.82,10.05,11.65,10.84,12.25,9.89,13.65,19.31,9.3,14.97,20.54
a_1,2.93,3.36,2.53,2.97,2.9,11.06,11.97,13.24,10.62,14.04,14.21,12.52,21.9,10.19,15.08,22.47
h_1,3.13,4.07,3.06,2.88,2.98,3.15,20.13,13.25,13.7,11.05,12.19,14.55,15.97,14.9,15.29,24.76
d_0,2.68,2.9,5.2,2.11,3.39,2.58,11.24,18.98,10.58,9.62,14.02,14.53,19.42,14.11,16.99,21.69
g_1,2.78,2.66,3.05,4.36,2.92,2.74,9.69,10.69,23.09,14.54,13.23,20.11,23.68,12.55,20.36,17.91
c_0,2.95,3.47,2.45,3.49,2.05,3.04,12.09,14.19,12.07,21.26,25.55,17.2,24.9,21.35,18.35,24.65
b_0,3.19,3.42,3.38,3.05,2.23,2.57,11.18,15.04,12.26,14.3,23.15,15.72,23.0,32.9,17.6,20.67
f_0,2.39,2.85,3.35,3.67,3.18,2.82,12.57,13.44,12.71,13.03,14.82,24.21,24.36,18.91,31.16,24.96
h_0,3.04,3.89,2.76,3.67,2.58,2.7,7.06,12.49,13.72,13.99,13.95,13.13,18.43,14.26,15.36,29.73
a_0,3.19,3.66,3.13,3.09,2.58,1.96,10.79,14.2,10.98,14.77,16.08,14.04,24.53,30.93,16.66,24.18
e_0,2.6,3.26,3.3,3.42,3.11,3.32,12.88,12.13,12.0,14.14,14.64,14.97,21.74,15.63,30.4,24.55
g_0,2.72,2.83,2.84,4.66,2.81,3.06,11.32,11.5,10.0,14.57,15.09,21.86,22.94,15.35,20.46,18.52
