,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,b_0,g_1,f_0,h_0,a_0,e_0,g_0
e_1,1.07,5.46,7.42,8.48,10.35,9.95,2.89,2.64,2.2,1.86,3.3,3.2,2.1,2.9,,2.1
f_1,9.61,1.07,8.61,8.39,7.5,7.43,2.26,3.03,2.03,2.19,2.94,,1.59,2.61,1.78,2.22
c_1,10.19,9.12,1.07,19.71,10.39,9.11,3.53,1.61,,2.35,3.53,2.69,1.68,2.21,3.12,1.78
d_1,11.57,11.35,7.47,1.07,8.4,10.75,3.62,,2.75,3.18,2.35,3.26,1.98,2.28,2.69,1.68
b_1,8.85,12.02,6.7,10.62,1.07,14.0,4.71,4.0,3.26,,3.5,3.84,3.17,2.65,2.6,1.94
a_1,14.67,14.41,15.08,11.6,7.96,1.07,5.52,5.74,6.62,,4.37,3.63,2.79,,3.56,3.24
h_1,15.95,17.93,12.0,12.49,11.69,11.87,1.41,4.42,3.91,3.65,4.07,4.33,,3.9,3.37,2.95
d_0,9.65,13.9,18.22,,9.98,9.15,5.02,1.72,4.21,3.94,4.83,2.92,3.15,3.19,,3.31
c_0,20.66,17.55,,11.68,16.96,10.48,6.42,4.27,1.73,4.52,4.6,3.59,2.88,4.34,3.19,2.59
b_0,18.47,22.84,27.73,13.05,,,7.38,5.09,3.91,1.7,4.91,3.9,3.43,4.53,,4.49
g_1,21.86,22.63,19.98,21.75,26.29,18.04,7.11,5.64,6.52,5.93,1.41,5.0,3.52,,4.43,
f_0,17.8,,20.54,16.8,16.57,15.21,5.9,7.29,5.79,6.15,5.2,1.72,4.9,4.3,4.76,2.67
h_0,16.52,20.14,18.69,15.55,17.12,11.64,,5.26,4.8,4.96,6.3,3.71,,5.01,3.44,3.4
a_0,18.84,19.0,31.13,23.56,24.56,,8.65,7.32,5.6,4.41,,5.76,4.6,1.72,5.43,4.67
e_0,,25.92,17.05,18.95,25.96,17.44,7.82,,7.09,,7.8,4.25,5.63,5.74,1.71,4.92
g_0,25.41,19.6,19.16,19.0,19.59,21.12,5.98,5.4,6.65,5.1,,6.49,3.89,5.21,6.06,
