,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,f_0,b_0,a_0,h_0,e_0,g_0
e_1,0.43,0.57,1.01,1.04,0.92,0.77,0.27,0.27,0.2,0.2,0.24,0.2,0.18,0.13,0.22,0.14
f_1,0.88,0.42,0.95,1.01,0.88,0.85,0.2,0.26,0.18,0.18,0.24,0.17,0.17,0.1,0.16,0.15
d_1,1.02,1.03,0.41,0.89,0.94,0.83,0.26,0.19,0.17,0.26,0.17,0.19,0.18,0.12,0.2,0.08
c_1,0.82,1.02,1.3,0.39,0.95,0.95,0.28,0.28,0.25,0.12,0.2,0.2,0.2,0.16,0.2,0.15
b_1,1.07,1.19,1.12,0.59,0.38,1.07,0.31,0.29,0.29,0.2,0.24,0.3,0.26,0.17,0.2,0.17
a_1,1.29,1.33,1.17,1.17,0.68,0.32,0.35,0.4,0.27,0.35,0.28,0.36,0.37,0.19,0.31,0.2
h_1,1.66,1.69,1.59,1.62,1.67,1.48,0.29,0.52,0.34,0.37,0.39,0.33,0.34,0.33,0.31,0.25
g_1,1.72,2.22,1.79,1.88,1.76,1.54,0.4,0.28,0.38,0.4,0.4,0.37,0.37,0.23,0.38,0.31
c_0,2.03,2.19,1.24,3.1,2.17,1.72,0.58,0.56,0.29,0.58,0.41,0.44,0.45,0.3,0.41,0.27
d_0,1.38,1.82,2.79,2.19,2.09,1.88,0.63,0.66,0.48,0.31,0.41,0.42,0.44,0.33,0.44,0.32
f_0,2.11,3.04,1.91,2.22,1.9,1.79,0.64,0.43,0.45,0.48,0.27,0.43,0.43,0.31,0.37,0.2
b_0,2.13,2.24,1.65,2.91,2.88,1.95,0.53,0.66,0.26,0.47,0.41,0.28,0.39,0.36,0.37,0.28
a_0,2.29,2.34,2.39,2.4,3.48,2.72,0.76,0.73,0.41,0.48,0.47,0.27,0.25,0.38,0.34,0.29
h_0,2.45,2.59,2.62,2.47,2.22,1.88,0.85,0.65,0.47,0.46,0.54,0.49,0.51,0.42,0.47,0.38
e_0,3.02,3.25,2.3,2.62,2.55,2.2,0.73,0.72,0.49,0.5,0.29,0.49,0.54,0.41,0.27,0.32
g_0,2.85,2.97,2.42,3.06,2.69,2.37,0.65,0.85,0.49,0.56,0.56,0.48,0.53,0.31,0.48,0.44
