,e_1,d_1,f_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,0.95,0.46,0.5,0.67,0.49,0.31,0.42,0.55,0.31,0.34,0.34,0.32,0.31,0.27,0.23,0.28
d_1,0.6,0.96,0.6,0.46,0.47,0.32,0.37,0.32,0.3,0.52,0.37,0.33,0.31,0.24,0.24,0.28
f_1,0.83,0.53,0.95,0.52,0.47,0.33,0.32,0.36,0.32,0.3,0.31,0.22,0.3,0.26,0.18,0.25
c_1,0.52,0.57,0.58,0.95,0.8,0.37,0.4,0.33,0.32,0.23,0.23,0.3,0.28,0.24,0.23,0.28
b_1,0.58,0.63,0.61,0.47,0.94,0.74,0.39,0.35,0.35,0.38,0.23,0.3,0.33,0.18,0.23,0.28
a_1,0.73,0.75,0.76,0.65,0.39,0.94,0.48,0.42,0.43,0.42,0.39,0.35,0.38,0.25,0.28,0.33
h_1,0.8,0.89,1.12,0.76,0.67,0.45,0.79,0.46,0.58,0.48,0.47,0.39,0.38,0.38,0.31,0.45
d_0,0.8,0.72,0.86,1.34,0.78,0.57,0.68,0.71,0.52,0.39,0.51,0.4,0.49,0.41,0.32,0.41
g_1,0.83,1.16,0.79,0.83,0.73,0.52,0.54,0.5,0.79,0.55,0.47,0.7,0.39,0.37,0.39,0.39
c_0,0.89,0.88,1.07,0.79,0.61,0.57,0.64,0.7,0.54,0.73,0.85,0.51,0.58,0.46,0.39,0.42
b_0,0.99,0.89,1.0,1.08,0.64,0.45,0.69,0.63,0.59,0.48,0.7,0.54,0.55,0.71,0.4,0.44
f_0,0.87,1.05,0.85,0.95,0.8,0.63,0.68,0.7,0.53,0.61,0.54,0.72,0.48,0.49,0.72,0.46
h_0,1.01,1.12,1.12,1.08,0.75,0.62,0.58,0.62,0.74,0.59,0.53,0.54,0.49,0.41,0.37,0.62
a_0,1.1,1.15,1.01,1.11,1.01,0.45,0.69,0.68,0.71,0.55,0.48,0.53,0.64,0.63,0.43,0.46
e_0,0.92,1.23,1.2,0.99,0.89,0.6,0.83,0.83,0.62,0.65,0.67,0.48,0.7,0.52,0.66,0.58
g_0,0.95,1.45,1.01,0.97,0.82,0.56,0.69,0.65,0.51,0.76,0.62,0.71,0.52,0.49,0.42,0.45
