,d_1,e_1,f_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,g_0,a_0,e_0
d_1,0.41,1.76,1.26,1.44,1.26,1.12,0.67,0.45,0.65,1.01,0.6,0.51,0.5,0.39,0.49,0.44
e_1,1.13,0.41,0.78,1.41,1.28,1.26,0.97,0.91,0.6,0.73,0.72,0.58,0.56,0.53,0.65,1.61
f_1,1.35,1.56,0.41,1.22,1.05,1.3,0.59,0.67,0.52,0.52,0.57,1.04,0.38,0.44,0.56,0.64
c_1,1.41,1.1,1.26,0.39,1.53,1.19,0.82,0.79,1.28,0.37,0.42,0.53,0.5,0.62,0.55,0.67
b_1,1.24,1.29,1.75,0.85,0.37,1.52,0.56,0.61,0.7,0.71,1.18,0.6,0.49,0.57,0.51,0.52
a_1,1.42,1.15,1.4,1.38,0.81,0.3,0.81,0.64,0.64,0.63,0.82,0.67,0.58,0.44,,0.57
h_1,1.0,0.83,0.96,0.82,1.26,1.1,0.26,0.63,0.41,0.39,0.42,0.47,0.65,0.39,0.41,0.42
g_1,1.11,0.86,1.15,0.91,1.04,1.08,0.35,0.23,0.37,0.42,0.43,0.5,0.23,0.46,0.46,0.41
c_0,0.61,0.88,1.22,1.78,1.14,0.97,0.45,0.67,0.27,0.49,0.51,0.43,0.44,0.38,0.52,0.42
d_0,1.6,0.56,1.09,1.09,0.98,0.97,0.55,0.72,0.42,0.27,0.39,0.48,0.38,0.4,0.47,0.45
b_0,0.82,0.8,1.0,1.79,1.36,0.82,0.52,0.47,0.24,0.48,0.25,0.38,0.35,0.35,0.6,0.41
f_0,0.92,0.8,1.45,1.12,0.95,0.84,0.44,0.43,0.46,0.42,0.48,0.24,0.36,0.25,0.43,0.49
h_0,0.91,0.89,1.08,0.89,0.93,0.87,0.94,0.78,0.37,0.46,0.42,0.4,0.58,0.43,0.35,0.43
g_0,0.93,0.88,1.11,0.87,0.92,1.07,0.4,1.06,0.37,0.43,0.41,0.5,0.29,0.55,0.48,0.5
a_0,1.08,0.96,1.06,0.91,1.34,,0.5,0.5,0.32,0.41,0.23,0.37,0.51,0.38,0.2,0.4
e_0,1.07,1.59,1.08,0.75,1.04,0.97,0.48,0.48,0.41,0.46,0.48,0.28,0.29,0.31,0.43,0.2
