,d_1,f_1,e_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,g_0,e_0
d_1,0.66,1.4,1.29,1.13,1.2,1.14,0.6,0.56,0.41,0.76,0.55,0.43,0.37,0.41,0.27,0.49
f_1,1.28,0.66,1.46,1.36,1.21,1.02,0.48,0.45,0.6,0.49,0.42,0.5,0.3,0.42,0.41,0.35
e_1,1.43,0.85,0.65,1.43,1.43,1.27,0.59,0.52,0.65,0.57,0.53,0.61,0.41,0.48,0.45,0.64
c_1,1.68,1.49,1.2,0.63,1.87,1.15,0.51,0.56,0.56,0.32,0.4,0.43,0.4,0.45,0.39,0.47
b_1,1.44,1.77,1.34,0.83,0.61,1.85,0.82,0.59,0.71,0.48,0.8,0.54,0.46,0.54,0.47,0.5
a_1,1.79,1.78,1.64,1.86,0.88,0.57,0.89,0.67,0.81,0.65,0.66,0.71,0.62,0.78,0.6,0.49
h_1,1.71,2.06,2.05,2.51,1.74,1.74,0.57,0.71,0.93,0.77,0.67,0.75,0.72,0.57,0.61,0.59
c_0,1.4,2.52,2.36,3.0,1.86,2.0,0.98,0.61,1.08,1.02,1.02,0.77,0.7,0.87,0.65,0.69
g_1,2.23,2.43,2.14,2.27,2.07,1.67,0.71,0.72,0.55,0.76,0.73,0.75,0.54,0.74,0.66,0.59
d_0,2.63,2.14,1.38,2.51,2.58,1.98,1.1,0.78,1.19,0.62,0.94,0.73,0.66,0.83,0.69,0.7
b_0,1.88,2.39,2.1,3.33,2.6,1.91,1.14,0.52,1.09,0.85,0.6,0.98,0.74,0.98,0.67,0.8
f_0,2.28,3.86,2.03,2.66,2.06,1.98,1.02,0.88,0.82,0.92,0.78,0.58,0.72,0.94,0.47,0.98
h_0,2.44,2.79,2.28,2.57,2.48,2.06,1.37,0.88,1.13,0.92,0.91,0.88,0.91,0.79,0.81,0.73
a_0,2.44,2.98,2.55,3.35,2.76,3.28,1.18,0.76,1.2,1.21,0.55,0.87,0.81,0.56,0.73,0.89
g_0,2.74,2.9,2.59,2.91,2.49,2.08,1.05,0.95,1.27,1.06,0.87,1.04,0.63,0.85,0.87,0.97
e_0,2.39,3.56,3.42,2.33,2.56,2.77,1.25,1.09,1.1,1.25,0.9,0.55,0.82,0.88,0.65,0.57
