,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,a_0,h_0,g_0,e_0
f_1,12018.23,8649.42,6201.63,9129.98,15765.68,40982.18,7123527.77,14348196.35,25461943.16,21034987.66,45014215.68,54557433.11,145728920.61,201190917.93,550284417.88,314761328.25
e_1,5936.83,12144.76,6177.57,10674.58,15043.88,47827.05,9051129.89,16432869.51,38394314.1,25862428.36,53072594.82,88108583.12,167267021.03,224884808.16,612376196.41,372253829.5
d_1,5834.83,5404.71,15778.3,7251.94,15760.37,52830.72,8063077.03,17458392.46,16533637.71,43362205.48,62569153.66,97261557.11,153840096.02,220122784.72,638346954.43,503097804.83
c_1,5456.57,5289.44,6547.26,21055.5,29376.59,56680.69,6404205.95,13636191.77,22603695.09,15620714.91,29707525.06,73459993.77,131593914.87,212197889.81,536892378.03,401992852.48
b_1,5234.64,5015.88,7728.8,8500.93,46304.94,101489.59,6923000.27,15333703.37,22690917.27,21545386.36,31889348.05,82021282.47,100745677.55,210421796.84,572214851.55,394196174.16
a_1,5734.98,5136.65,7676.59,8664.88,18462.87,182289.73,8067389.63,18009968.22,23554049.35,23377215.85,41577045.62,89310414.82,98794586.1,275296722.58,640033208.98,431889125.28
h_1,7583.71,5799.47,7572.02,9924.39,15720.12,47181.46,13603038.23,21386753.3,27541730.19,26606042.5,52063812.48,88405562.87,144488713.29,192813171.75,826487540.33,541955478.78
g_1,5197.4,5725.27,10847.34,9345.98,15458.67,55541.03,6926936.12,34067722.4,20572149.07,27374138.13,50391293.54,118408330.78,134886988.08,232159472.41,620117122.05,480215576.36
d_0,5960.66,5382.15,5669.77,16304.64,19818.93,48894.71,7907802.22,17471387.02,36795862.49,18128526.01,44572247.69,86044103.85,163224501.47,235430275.62,653280725.96,470987039.91
c_0,6621.66,6580.07,7372.62,8800.42,13970.35,47462.9,8703831.54,20431307.94,28245513.6,39990235.81,99148758.78,102592055.55,201147262.93,252105772.0,659348348.8,549009093.92
b_0,7079.64,5864.37,8013.59,10028.11,14559.16,39885.45,8032393.11,21221855.44,26187252.56,26162300.94,77713155.23,80455376.9,302384017.24,287479233.77,714969091.65,455682330.26
f_0,5248.71,5628.58,7873.19,10961.85,19163.27,54620.06,9018587.12,18780154.25,28863739.99,26741297.79,51657854.01,152202792.88,156952689.76,246006774.71,708440691.98,985807734.98
a_0,7121.92,6167.14,8170.16,10107.23,15637.83,39362.56,9379903.28,20715301.58,26840286.31,25767600.11,58106488.05,94830954.42,298849452.29,234547904.18,725002609.91,434557016.48
h_0,7987.1,6367.63,8103.35,9509.4,16806.27,40319.18,5837389.59,23452459.48,22311102.66,23874618.99,46349450.55,90402090.42,137849173.2,188091453.72,891618789.85,455275833.98
g_0,5982.31,5507.43,9937.77,9611.52,17406.14,55886.2,8694691.29,14905752.27,23766668.99,25107522.19,44657015.45,125338000.59,156432098.62,246159588.55,560103315.99,548906720.33
e_0,6720.74,5646.18,7911.31,10987.91,16673.06,52943.32,7680005.45,20831269.14,21973867.18,27789836.28,54551109.11,77573440.78,165929879.94,262227217.56,725141605.81,995043042.07
