,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
e_1,1.0,0.75,1.04,0.95,0.86,0.88,0.71,0.87,0.71,0.67,0.68,0.68,0.6,0.68,0.55,0.7
f_1,1.33,1.0,1.05,0.69,1.02,0.74,0.6,0.79,0.66,0.69,0.64,0.67,0.54,0.5,0.46,0.51
c_1,0.97,0.96,1.0,1.11,1.32,0.74,0.83,0.43,0.51,0.75,0.66,0.54,0.56,0.55,0.58,0.56
d_1,1.06,1.46,0.9,1.0,0.95,0.76,0.69,0.73,0.9,0.54,0.6,0.63,0.59,0.64,0.45,0.43
b_1,1.17,0.98,0.76,1.05,1.0,1.42,0.79,0.8,0.67,0.68,0.57,0.72,0.61,0.61,0.47,0.62
a_1,1.13,1.36,1.34,1.32,0.7,1.0,0.83,0.7,0.69,0.78,0.69,0.97,,0.82,0.81,0.6
h_1,1.4,1.64,1.27,1.47,1.25,1.22,1.0,0.86,0.89,1.13,0.87,0.85,0.74,0.75,0.89,1.01
d_0,1.09,1.35,2.38,1.27,1.27,1.37,1.14,1.0,0.93,0.89,0.99,0.9,0.78,0.98,0.84,0.8
c_0,1.31,1.53,1.69,1.13,1.5,1.53,1.11,1.12,1.0,1.13,1.37,0.94,0.9,0.9,1.09,0.87
g_1,1.47,1.45,1.34,1.89,1.45,1.25,0.88,1.1,0.87,1.0,0.93,1.1,0.74,0.8,0.8,0.81
b_0,1.33,1.55,1.53,1.79,1.75,1.38,1.14,1.0,0.72,1.17,1.0,0.83,1.41,0.85,0.92,0.87
f_0,1.37,1.58,1.84,1.73,1.4,1.09,1.16,1.08,1.02,0.88,1.24,1.0,1.05,0.8,1.31,0.73
a_0,1.66,1.94,1.91,1.66,1.74,,1.24,1.2,1.19,1.37,0.74,0.97,1.0,0.97,0.93,1.09
h_0,1.44,2.0,1.84,1.64,1.57,1.28,1.32,0.99,1.15,1.26,1.22,1.21,1.01,1.0,0.98,1.01
e_0,1.76,2.09,1.85,2.19,1.96,1.16,1.12,1.34,1.03,1.29,1.12,0.79,1.07,1.07,1.0,0.98
g_0,1.35,1.81,1.77,2.28,1.61,1.68,1.0,1.24,1.09,1.23,1.11,1.37,0.92,0.98,1.05,1.0
