,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.0,0.75,0.79,1.0,1.16,0.74,0.71,0.9,0.68,0.7,0.63,0.74,0.7,0.67,0.72,0.59
f_1,1.33,1.0,0.88,1.12,0.74,0.74,0.63,0.59,0.64,0.64,0.68,0.62,0.48,0.54,0.53,0.74
d_1,1.26,1.14,1.0,0.76,1.04,0.93,0.68,0.55,0.83,0.52,0.59,0.65,0.6,0.6,0.48,0.44
c_1,1.0,0.89,1.32,1.0,1.33,0.85,0.68,0.47,0.5,0.67,0.69,0.6,0.66,0.48,0.65,0.55
b_1,0.86,1.35,0.96,0.75,1.0,1.48,0.77,0.79,0.75,0.92,1.03,0.69,0.63,0.79,0.6,0.51
a_1,1.35,1.36,1.07,1.18,0.67,1.0,1.1,0.87,0.61,0.61,0.69,0.62,0.67,0.94,0.75,0.84
h_1,1.39,1.57,1.56,1.46,1.33,0.93,1.0,0.91,0.9,1.09,0.91,0.82,0.8,0.69,0.69,0.93
d_0,1.09,1.7,1.73,2.18,1.26,1.12,1.07,1.0,0.97,1.05,0.87,1.0,0.85,0.76,0.77,0.84
c_0,1.5,1.61,1.17,2.16,1.28,1.59,1.12,0.95,1.0,1.06,1.32,0.96,0.85,0.84,0.83,0.89
g_1,1.36,1.48,1.96,1.52,1.07,1.67,0.91,0.98,0.89,1.0,0.92,1.04,0.72,0.65,0.89,0.72
b_0,1.57,1.49,1.71,1.47,0.97,1.42,1.09,1.11,0.79,1.1,1.0,0.91,0.92,1.22,0.86,0.9
f_0,1.38,1.8,1.57,1.75,1.36,1.52,1.15,1.01,1.12,1.0,1.03,1.0,0.91,0.79,1.1,0.69
h_0,1.4,2.1,1.6,1.64,1.53,1.51,1.34,1.21,1.12,1.42,1.05,1.11,1.0,0.85,0.91,1.09
a_0,1.56,1.94,1.71,2.05,1.38,,1.44,1.16,1.17,1.5,0.76,1.26,1.14,1.0,0.97,1.01
e_0,,2.15,2.03,1.51,1.54,1.39,1.34,1.22,1.18,1.11,1.26,0.86,1.08,1.06,1.0,1.02
g_0,1.79,1.4,2.29,1.84,1.79,1.24,1.07,1.17,1.14,1.36,1.14,1.42,0.9,0.93,0.97,1.0
