,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
e_1,15.83,0.57,0.8,0.4,0.54,0.52,0.82,2.0,0.97,0.85,1.12,1.04,1.03,0.85,0.51,0.91
f_1,1.34,16.09,0.49,0.55,0.44,0.51,0.84,0.8,0.73,0.64,0.85,0.33,0.79,0.84,0.76,0.72
c_1,0.44,0.53,17.23,0.61,1.32,0.49,0.85,0.82,0.33,0.79,0.58,0.85,1.06,0.87,0.91,0.91
d_1,0.47,0.64,0.39,19.78,0.5,0.51,0.93,0.43,2.08,1.07,1.43,1.12,1.06,1.19,1.03,1.16
b_1,0.41,0.62,0.56,0.5,21.5,1.53,0.81,0.72,0.73,0.8,0.23,0.84,0.87,0.62,1.04,0.93
a_1,0.51,0.71,0.65,0.63,0.5,26.69,0.94,0.9,1.03,0.89,1.0,0.93,0.96,0.41,0.96,0.89
h_1,0.61,1.15,0.66,0.82,0.64,0.67,5.24,0.92,1.19,1.76,0.99,1.18,0.62,1.18,1.57,1.77
d_0,0.68,0.66,2.15,0.36,0.67,0.64,1.11,2.47,0.81,1.07,1.45,1.26,1.36,1.29,1.15,1.13
c_0,0.82,0.74,0.48,1.18,0.44,0.76,1.02,1.31,2.94,1.11,3.31,1.27,1.18,1.44,1.27,1.48
g_1,0.53,0.45,0.68,1.44,0.73,0.72,1.18,1.02,1.15,6.9,1.09,2.65,1.08,1.34,1.45,0.77
b_0,0.9,0.67,0.92,0.91,0.36,0.55,1.32,1.4,1.17,1.12,3.58,1.25,1.46,2.94,1.19,1.43
f_0,0.57,0.37,0.87,0.76,0.9,0.95,1.52,1.27,1.27,1.35,1.23,3.99,1.2,1.49,2.74,1.42
h_0,0.6,1.09,0.78,0.81,0.77,0.59,0.75,1.34,1.26,1.48,1.24,0.99,0.76,1.21,1.19,1.67
a_0,0.87,0.62,0.75,0.87,0.65,0.43,1.26,1.48,1.33,1.53,1.18,1.92,1.46,4.46,1.21,1.51
e_0,0.38,0.93,0.66,0.97,0.72,0.75,1.47,1.23,1.25,1.46,1.33,1.46,1.25,1.83,4.25,1.0
g_0,0.59,0.57,0.7,1.89,0.64,0.54,1.32,0.8,1.16,0.67,1.09,2.15,1.36,1.24,1.53,0.9
