,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,97.44,75.29,118.65,130.7,177.0,471.12,10843.71,19084.55,24052.57,34511.2,42869.3,47716.12,88319.02,106380.18,114010.58,185793.98
d_1,67.04,114.55,81.31,110.33,171.75,444.32,12406.44,17383.43,36339.21,24246.22,52976.94,59647.01,85909.46,118412.36,146467.63,188825.7
e_1,59.11,66.17,120.08,140.68,177.66,452.3,12557.0,19075.04,22618.35,45596.36,40948.77,58764.11,90167.05,113372.47,129499.92,223078.37
c_1,51.01,66.18,63.49,165.81,223.29,421.86,9633.6,15118.69,16611.51,23123.87,30672.46,49197.95,77481.17,94569.93,118143.08,183002.66
b_1,48.05,64.54,58.3,83.84,222.34,593.79,9447.37,13652.15,18605.52,22703.17,26003.53,44329.26,70635.5,72469.78,107441.6,155814.33
a_1,39.05,47.98,43.72,69.56,82.19,504.91,6943.16,11633.77,12670.55,15166.82,26353.03,32282.86,56943.14,49603.82,84372.5,116225.25
h_1,18.35,19.11,17.68,30.35,39.39,92.19,3760.31,5343.21,5431.38,6745.17,8969.62,13624.63,20026.29,23980.56,32526.71,56291.17
g_1,12.3,20.66,15.23,26.28,37.31,80.89,2444.07,5403.09,4755.27,5340.26,8473.71,14760.05,16994.57,26056.91,29754.87,40544.88
c_0,13.84,13.93,16.73,22.93,29.51,99.02,2696.92,3752.61,5847.63,6381.57,12655.68,10942.79,19163.27,26460.88,28469.16,40983.01
d_0,11.5,12.08,12.52,33.78,35.31,80.1,2098.3,3596.23,2947.69,6814.61,6491.85,11352.74,16041.63,20953.95,25808.57,37917.74
b_0,10.93,11.81,13.7,21.98,27.38,72.86,2123.68,3376.72,3714.16,5445.54,8602.98,10046.05,15328.23,30412.09,23723.18,35950.57
f_0,9.21,12.05,10.59,20.19,25.52,67.53,1962.55,2720.95,3642.4,4002.2,6477.94,11369.55,15120.96,16725.98,32412.26,31105.25
h_0,10.24,10.81,11.17,16.89,23.6,58.8,1442.75,3091.47,2928.75,3936.0,5622.93,7185.88,11048.93,14858.06,18685.31,33637.22
a_0,8.28,8.92,9.58,14.32,21.45,51.95,1624.5,2309.64,2859.65,3417.06,4419.78,7087.26,12601.99,18222.19,17742.54,27243.63
e_0,7.74,8.5,6.97,14.79,19.75,52.13,1426.48,2061.85,2694.24,3268.8,4571.42,5754.08,10182.17,11704.04,22178.58,23030.97
g_0,6.89,10.42,6.67,11.4,19.11,47.23,1192.66,1750.41,2675.31,2390.92,4403.07,7575.3,8484.04,11951.01,16760.0,19215.83
