,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,0.18,7.4,14.89,14.63,14.78,11.06,3.14,2.42,4.5,3.07,2.61,3.7,1.95,1.44,,1.7
f_1,14.44,0.17,14.94,13.48,11.05,13.47,2.15,2.66,5.17,2.21,2.15,,2.73,1.09,3.05,2.78
d_1,14.89,12.39,0.16,16.08,9.75,14.58,3.29,,2.12,2.54,2.7,2.2,3.43,1.99,1.82,1.16
c_1,11.91,13.86,15.01,0.15,12.01,11.94,3.14,1.39,4.14,,3.01,2.61,2.32,2.04,2.7,1.58
b_1,11.08,13.13,12.99,7.45,0.13,12.77,3.25,2.91,4.43,3.1,,3.14,3.44,2.0,2.0,
a_1,15.71,15.71,14.58,9.29,6.78,0.09,3.23,2.68,,2.83,,3.17,,1.55,1.67,2.35
h_1,3.37,3.36,2.76,4.01,3.14,3.39,0.07,0.76,0.84,0.6,0.48,0.68,0.52,,0.88,0.54
d_0,1.37,2.9,,2.36,2.36,3.39,0.91,0.08,0.77,0.56,0.4,0.44,0.63,0.28,0.58,0.5
g_1,3.34,3.51,3.64,3.96,4.19,,1.02,0.49,0.05,0.62,0.64,0.73,0.63,0.4,0.76,
c_0,3.07,2.11,1.33,,3.1,2.67,0.7,0.62,0.58,0.08,0.55,0.43,0.59,0.39,0.55,0.39
b_0,2.53,2.63,2.7,3.01,,,0.63,0.4,0.66,0.3,0.07,0.61,,0.43,0.48,0.31
f_0,2.87,,2.62,3.26,2.26,2.38,0.8,0.66,0.47,0.43,0.46,0.06,0.4,0.38,0.53,0.17
a_0,3.68,2.24,2.78,2.53,3.21,,0.65,0.51,0.75,0.67,,0.42,0.05,0.4,0.48,
h_0,1.76,1.62,1.59,1.44,1.64,2.07,,0.34,0.35,0.34,0.41,0.27,0.36,,0.29,0.23
e_0,,4.22,1.82,2.31,2.48,1.89,0.66,0.62,0.58,0.55,0.68,0.24,0.52,0.46,0.05,0.36
g_0,1.39,2.27,1.6,1.17,,1.99,0.46,0.41,,0.3,0.5,0.28,,0.14,0.29,
