,e_1,d_1,f_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,0.88,0.06,0.08,0.09,0.07,0.04,0.09,0.16,0.06,0.08,0.07,0.08,0.07,0.05,0.02,0.05
d_1,0.08,0.88,0.09,0.06,0.07,0.04,0.08,0.02,0.07,0.15,0.06,0.09,0.07,0.05,0.05,0.08
f_1,0.15,0.09,0.87,0.08,0.07,0.04,0.07,0.09,0.05,0.08,0.08,0.01,0.08,0.06,0.04,0.06
c_1,0.08,0.09,0.08,0.88,0.14,0.04,0.08,0.09,0.06,0.01,0.06,0.06,0.06,0.05,0.04,0.08
b_1,0.08,0.09,0.1,0.07,0.87,0.1,0.08,0.08,0.07,0.08,0.02,0.06,0.08,0.03,0.04,0.05
a_1,0.11,0.09,0.09,0.1,0.06,0.87,0.07,0.06,0.07,0.08,0.06,0.05,0.08,0.01,0.04,0.06
h_1,0.14,0.17,0.2,0.13,0.11,0.08,0.53,0.12,0.13,0.11,0.13,0.1,0.03,0.08,0.09,0.11
d_0,0.18,0.05,0.16,0.28,0.09,0.09,0.16,0.37,0.11,0.11,0.14,0.09,0.14,0.09,0.07,0.1
g_1,0.12,0.24,0.12,0.15,0.11,0.08,0.12,0.12,0.52,0.13,0.1,0.18,0.08,0.08,0.06,0.04
c_0,0.15,0.19,0.2,0.04,0.11,0.07,0.15,0.15,0.11,0.39,0.24,0.14,0.15,0.09,0.08,0.12
b_0,0.19,0.19,0.16,0.17,0.04,0.05,0.17,0.16,0.1,0.14,0.37,0.11,0.16,0.17,0.07,0.09
f_0,0.16,0.18,0.05,0.15,0.11,0.09,0.16,0.15,0.15,0.18,0.15,0.39,0.11,0.11,0.18,0.11
h_0,0.15,0.19,0.19,0.17,0.08,0.09,0.05,0.15,0.14,0.09,0.1,0.1,0.06,0.1,0.08,0.16
a_0,0.17,0.18,0.17,0.15,0.11,,0.14,0.15,0.16,0.14,0.14,0.12,0.18,0.33,0.1,0.08
e_0,0.06,0.18,0.17,0.14,0.1,0.08,0.2,0.23,0.15,0.16,0.17,0.11,0.18,0.11,0.36,0.16
g_0,0.11,0.23,0.16,0.12,0.12,0.09,0.15,0.14,0.05,0.16,0.13,0.15,0.16,0.07,0.09,0.04
