,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,0.93,0.1,0.09,0.12,0.1,0.05,0.07,0.08,0.07,0.1,0.06,0.06,0.04,0.05,,0.04
f_1,0.16,0.93,0.1,0.11,0.08,0.05,0.07,0.04,0.06,0.07,0.07,,0.06,0.05,0.05,0.05
d_1,0.1,0.11,0.93,0.08,0.1,0.08,0.07,0.06,0.11,,0.07,0.05,0.08,0.04,0.04,0.04
c_1,0.1,0.11,0.12,0.93,0.16,0.08,0.07,0.05,,0.06,0.05,0.06,0.06,0.06,0.05,0.06
b_1,0.1,0.13,0.12,0.07,0.93,0.1,0.11,0.07,0.07,0.06,,0.06,0.07,,0.04,0.06
a_1,0.14,0.13,0.09,0.1,0.09,0.93,0.1,0.06,0.09,0.08,0.06,0.05,0.07,,,0.08
h_1,0.3,0.36,0.28,0.26,0.16,0.19,0.71,0.25,0.21,0.18,0.18,0.12,,0.14,0.09,0.17
g_1,0.26,0.31,0.44,0.33,0.19,0.2,0.19,0.71,0.21,0.19,0.17,0.23,0.16,0.1,0.1,
c_0,0.35,0.38,0.32,,0.26,0.26,0.24,0.19,0.57,0.24,0.37,0.18,0.19,0.14,0.17,0.15
d_0,0.34,0.38,,0.45,0.3,0.2,0.28,0.16,0.19,0.59,0.24,0.21,0.19,0.15,0.19,0.17
b_0,0.36,0.35,0.34,0.34,,0.24,0.26,0.22,0.19,0.23,0.57,0.19,0.2,0.3,0.16,0.17
f_0,0.36,,0.43,0.33,0.37,0.33,0.28,0.21,0.24,0.22,0.29,0.56,0.26,0.12,0.19,0.16
h_0,0.63,0.65,0.4,0.45,0.36,0.38,,0.34,0.34,0.28,0.26,0.21,,0.16,0.19,0.35
a_0,0.41,0.43,0.47,0.29,,,0.21,0.27,0.26,0.27,0.19,0.28,0.25,0.57,,
e_0,,0.46,0.38,0.43,0.4,,0.35,0.28,0.24,0.27,0.25,0.22,0.23,,0.57,0.2
g_0,0.67,0.38,0.69,0.48,0.39,0.24,0.24,,0.42,0.33,0.36,0.34,0.22,,0.17,
