,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
f_1,2.28,0.41,0.21,0.2,0.18,0.19,0.36,0.4,0.43,0.45,0.49,0.09,0.36,0.54,0.22,0.5
e_1,0.22,2.31,0.15,0.25,0.25,0.17,0.43,0.27,0.49,0.9,0.47,0.38,0.44,0.51,0.09,0.51
d_1,0.26,0.23,2.33,0.2,0.19,0.19,0.44,0.37,0.87,0.06,0.52,0.58,0.37,0.55,0.37,0.49
c_1,0.19,0.24,0.23,2.36,0.43,0.15,0.35,0.26,0.08,0.5,0.31,0.42,0.34,0.61,0.32,0.55
b_1,0.26,0.19,0.25,0.25,2.46,0.27,0.36,0.29,0.38,0.41,0.1,0.42,0.37,0.64,0.45,0.54
a_1,0.27,0.2,0.27,0.21,0.18,2.99,0.37,0.38,0.44,0.56,0.36,0.42,0.07,0.56,0.41,0.64
h_1,0.54,0.36,0.47,0.38,0.33,0.18,2.9,0.9,0.97,0.72,0.85,0.61,0.67,0.36,0.54,1.12
g_1,0.4,0.28,0.65,0.46,0.24,0.24,0.56,3.21,0.62,0.66,0.75,1.28,0.61,1.0,0.82,0.28
c_0,0.41,0.41,0.48,0.14,0.3,0.36,0.77,0.9,2.45,0.76,1.79,0.88,0.87,1.03,0.7,0.82
d_0,0.43,0.36,0.13,0.74,0.37,0.33,1.04,0.56,0.65,2.34,0.78,0.63,0.73,0.87,0.44,0.76
b_0,0.51,0.4,0.46,0.41,0.13,0.21,0.74,0.61,0.98,0.88,2.5,0.99,1.43,1.21,0.55,0.79
f_0,0.15,0.36,0.49,0.46,0.36,0.33,0.81,0.92,0.99,0.83,0.77,2.56,0.65,1.06,1.44,0.73
a_0,0.46,0.31,0.53,0.43,0.36,0.1,0.82,0.66,0.87,0.76,0.92,0.77,2.66,1.37,0.71,0.9
h_0,0.59,0.31,0.46,0.4,0.32,0.27,0.32,1.04,0.88,0.81,0.91,0.66,0.67,0.31,0.9,1.03
e_0,0.47,,0.5,0.47,0.3,0.35,1.03,0.87,0.84,0.91,1.04,0.78,0.58,1.09,3.25,1.02
g_0,0.36,0.38,0.7,0.37,0.33,0.3,0.74,0.32,0.79,0.51,0.79,1.04,0.69,0.85,0.68,0.3
