,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,g_0,a_0,e_0
f_1,0.95,0.4,0.74,0.45,0.35,0.26,0.29,0.23,0.29,0.23,0.16,0.23,0.22,0.23,0.19,0.13
d_1,0.55,0.95,0.48,0.37,0.4,0.23,0.3,0.26,0.21,0.44,0.28,0.3,0.28,0.22,0.2,0.18
e_1,0.42,0.4,0.95,0.5,0.43,0.34,0.32,0.28,0.46,0.28,0.29,0.29,0.29,0.24,0.2,0.16
c_1,0.49,0.5,0.42,0.94,0.68,0.23,0.3,0.24,0.24,0.15,0.25,0.2,0.27,0.24,0.18,0.19
b_1,0.55,0.49,0.45,0.41,0.94,0.55,0.37,0.28,0.29,0.29,0.28,0.19,0.25,0.26,0.16,0.21
a_1,0.6,0.67,0.47,0.62,0.35,0.94,0.37,0.34,0.36,0.31,0.35,0.33,0.32,0.26,0.12,0.22
h_1,0.9,0.75,0.65,0.83,0.6,0.43,0.76,0.48,0.44,0.39,0.37,0.39,0.28,0.47,0.26,0.32
g_1,0.71,1.09,0.7,0.78,0.59,0.47,0.46,0.75,0.39,0.46,0.56,0.45,0.39,0.29,0.25,0.32
d_0,0.76,0.68,0.66,1.24,0.74,0.49,0.58,0.5,0.66,0.34,0.36,0.41,0.41,0.4,0.33,0.32
c_0,0.85,0.76,0.74,0.69,0.63,0.58,0.59,0.54,0.61,0.67,0.51,0.74,0.5,0.45,0.4,0.39
f_0,0.65,0.94,0.67,0.8,0.77,0.54,0.61,0.53,0.53,0.49,0.67,0.49,0.46,0.37,0.35,0.58
b_0,0.93,0.88,0.67,0.98,0.54,0.44,0.6,0.42,0.54,0.4,0.48,0.65,0.52,0.45,0.63,0.38
h_0,1.15,0.94,0.8,0.8,0.81,0.52,0.47,0.6,0.5,0.48,0.53,0.48,0.38,0.54,0.35,0.31
g_0,0.82,1.24,0.87,0.89,0.69,0.58,0.59,0.45,0.5,0.55,0.71,0.52,0.4,0.35,0.41,0.37
a_0,0.89,1.0,0.87,0.86,0.9,0.51,0.71,0.54,0.6,0.46,0.59,0.41,0.58,0.5,0.63,0.3
e_0,0.99,1.05,0.59,0.95,0.87,0.59,0.71,0.6,0.56,0.48,0.48,0.56,0.6,0.54,0.49,0.63
