,f_1,d_1,e_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,104.51,69.07,117.13,98.43,130.39,270.18,9901.65,22499.05,19869.26,23360.45,36274.73,36877.82,92090.05,118990.72,110110.36,188482.68
d_1,68.1,123.4,72.77,75.11,123.15,329.98,10080.49,15950.05,18082.91,39693.73,35301.81,47284.31,99311.67,134262.28,170822.15,189321.06
e_1,54.78,68.19,123.4,119.27,118.24,319.76,9315.43,31495.72,18379.09,23227.05,36870.25,58846.31,99529.01,119657.55,156300.55,213819.82
c_1,54.11,72.81,56.32,150.91,184.55,343.71,7773.02,14795.73,15336.01,14923.74,25329.02,40359.65,88171.43,106190.35,128081.61,192202.92
b_1,45.78,65.46,58.68,62.01,197.21,459.5,8610.51,15175.11,14934.36,20225.59,19567.33,40297.8,81673.13,74356.24,124266.09,183319.78
a_1,43.06,46.46,43.94,49.88,73.91,435.59,6229.11,12248.95,12332.4,14425.73,19918.3,29511.21,62590.24,61770.49,102094.47,105571.46
h_1,18.25,18.01,18.71,27.48,28.15,79.6,3512.83,4780.13,5932.67,5346.2,8417.08,12002.56,20109.03,27217.48,37967.05,65913.33
d_0,11.99,13.58,11.63,32.71,28.41,70.48,2021.71,5117.87,3536.99,3434.84,7380.5,10726.46,20231.09,24696.28,33924.43,40683.01
g_1,11.15,20.03,13.15,21.65,23.7,64.5,1932.83,3588.79,5843.34,4837.26,6977.56,12895.77,18262.98,28453.57,34150.43,40419.75
c_0,12.12,11.81,15.68,19.31,19.77,68.24,2084.0,4893.62,3544.67,6261.92,11592.96,10576.14,20273.82,28206.42,34916.7,44440.18
b_0,10.7,13.47,12.27,20.07,18.81,50.35,1868.13,3392.65,3354.88,3666.02,7882.99,8519.28,19658.68,37827.62,34226.49,38603.15
f_0,8.81,11.35,8.93,16.36,21.91,57.13,1541.4,3044.1,2911.48,3977.38,5309.13,10406.42,15613.46,19802.48,45005.24,28731.6
h_0,10.21,9.56,9.94,12.74,15.48,36.35,1126.27,2570.95,3201.34,2994.04,4217.2,5860.59,11448.68,15022.64,20961.36,33886.83
a_0,6.78,8.92,7.93,11.65,15.54,33.68,1352.84,2478.27,1920.52,3018.77,3401.21,6222.14,13033.39,20762.09,18044.05,26026.69
e_0,8.13,7.22,5.3,11.91,14.77,36.0,1152.09,2091.33,2056.18,2487.12,3537.9,4153.55,12687.31,16049.47,26050.27,20137.79
g_0,6.1,9.5,6.2,9.63,12.32,38.35,919.74,1970.98,1543.93,2453.68,3387.64,6898.14,8539.16,12805.48,20349.64,17586.0
