,f_1,e_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,a_0,g_0
f_1,1.04,1.64,1.5,1.41,1.36,1.15,0.48,0.57,0.49,0.42,0.5,0.42,0.3,0.37,0.37,0.36
e_1,1.14,1.05,1.75,1.52,1.53,1.23,0.57,0.61,0.55,0.45,0.53,0.43,0.37,0.47,0.46,0.35
c_1,1.67,1.31,1.04,1.89,1.72,1.13,0.6,0.57,0.32,0.49,0.45,0.42,0.38,0.43,0.39,0.35
d_1,1.68,1.8,1.58,1.04,1.64,1.33,0.56,0.41,0.59,0.52,0.45,0.43,0.36,0.38,0.37,0.27
b_1,1.97,1.85,1.22,1.93,1.05,2.1,0.75,0.69,0.49,0.66,0.54,0.68,0.42,0.46,0.45,0.37
a_1,2.67,2.47,2.91,2.67,1.44,1.06,1.0,0.96,0.8,0.78,0.79,0.93,0.7,0.68,0.78,0.6
h_1,4.72,4.45,4.16,4.15,3.74,3.41,1.24,1.62,1.28,1.35,1.32,1.31,1.1,1.1,1.04,0.98
g_1,5.53,5.13,5.26,5.6,4.7,3.54,1.56,1.26,1.39,1.5,1.67,1.3,0.94,1.24,1.16,1.11
d_0,4.94,3.77,6.71,5.63,5.27,4.0,1.91,2.1,1.38,1.42,1.57,1.39,1.26,1.35,1.26,1.08
c_0,5.78,5.71,7.53,3.83,5.39,5.04,2.04,1.84,2.01,1.33,1.69,1.73,1.37,1.46,1.5,1.11
f_0,6.47,5.16,5.94,5.77,5.26,3.92,2.09,1.47,1.56,1.72,1.33,1.58,1.4,1.45,1.35,0.88
b_0,6.17,6.52,7.42,5.35,6.36,4.48,2.25,2.28,1.89,1.2,1.67,1.38,1.42,1.46,1.73,1.18
h_0,7.55,6.9,6.76,6.67,6.26,5.39,2.68,2.63,2.04,1.83,1.94,1.72,1.64,1.71,1.54,1.4
e_0,9.94,9.53,7.21,7.32,7.12,6.01,2.9,2.35,2.45,1.99,1.57,2.32,1.82,1.45,1.87,1.22
a_0,7.7,7.56,8.09,8.6,7.95,7.18,2.99,2.93,2.24,2.1,2.29,1.41,1.7,2.04,1.5,1.44
g_0,8.46,8.29,8.51,7.94,7.84,7.29,2.67,3.11,2.68,2.39,2.63,2.47,1.69,2.17,2.06,1.98
