,e_1,d_1,f_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,2.33,0.45,0.58,0.68,0.53,0.44,1.0,0.84,2.33,1.23,1.26,1.16,1.4,1.01,0.55,1.22
d_1,0.57,2.38,0.63,0.44,0.51,0.43,1.14,1.03,0.59,2.22,1.37,1.23,1.21,1.16,0.95,1.34
f_1,0.98,0.51,2.36,0.59,0.5,0.38,0.79,0.85,1.03,1.17,1.14,0.64,1.51,1.07,0.81,1.33
c_1,0.56,0.57,0.66,2.46,0.97,0.32,0.9,0.95,1.14,0.46,0.73,0.82,1.43,1.04,0.93,1.06
b_1,0.53,0.57,0.57,0.54,2.53,0.93,1.17,0.98,1.13,1.04,0.43,0.88,1.26,0.65,0.78,1.14
a_1,0.59,0.7,0.53,0.55,0.5,3.02,1.02,1.16,1.1,1.2,1.33,1.48,1.59,0.45,0.95,1.47
h_1,0.66,0.65,1.0,0.69,0.53,0.58,3.15,1.61,1.36,1.51,1.52,1.18,1.11,1.17,1.02,1.82
g_1,0.56,1.13,0.71,0.67,0.62,0.42,1.28,3.25,1.07,1.7,1.44,1.99,1.66,0.97,1.17,0.99
d_0,0.59,0.47,0.73,1.44,0.62,0.44,1.23,1.19,2.57,1.14,1.43,1.37,1.77,1.09,1.34,1.47
c_0,0.68,0.81,0.71,0.43,0.52,0.59,1.36,1.34,1.32,2.68,2.89,1.58,1.86,1.32,1.41,1.43
b_0,0.62,0.84,0.76,0.75,0.39,0.51,1.3,1.4,1.4,1.44,2.85,1.66,1.84,2.49,1.25,1.49
f_0,0.58,0.82,0.5,0.77,0.55,0.58,1.42,1.33,1.61,1.39,1.39,2.87,2.25,1.18,2.92,1.67
h_0,0.6,0.82,1.06,0.76,0.64,0.43,0.82,1.52,1.42,1.24,1.5,1.22,1.1,1.18,1.22,2.05
a_0,0.65,0.65,0.75,0.8,0.67,0.32,1.58,1.48,1.44,1.39,1.76,1.85,2.02,2.97,1.48,1.6
e_0,0.41,0.97,0.86,0.8,0.55,0.41,1.51,1.11,1.58,1.5,1.63,1.45,2.32,1.48,3.21,1.61
g_0,0.61,1.04,0.7,0.73,0.55,0.49,1.18,0.77,1.24,1.43,1.54,2.26,1.77,1.45,1.24,0.97
