,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.06,1.86,2.06,1.99,1.84,1.63,0.58,0.78,0.52,0.58,0.51,0.66,0.36,0.45,0.48,0.43
d_1,2.24,1.05,2.42,2.1,1.78,1.58,0.76,0.55,0.69,0.96,0.69,0.52,0.47,0.59,0.51,0.29
e_1,1.46,2.13,1.06,2.45,2.14,1.89,0.9,0.88,0.7,0.75,0.61,0.73,0.57,0.57,0.97,0.71
c_1,2.43,2.53,2.02,1.06,2.57,1.93,0.78,0.79,0.91,0.42,0.65,0.59,0.56,0.61,0.52,0.56
b_1,2.77,2.83,2.55,1.49,1.07,2.86,1.17,0.94,0.97,0.84,0.87,0.8,0.57,0.72,0.68,0.59
a_1,3.74,3.54,3.43,3.17,1.9,1.07,1.5,1.48,0.95,0.99,1.13,1.06,0.87,1.62,0.92,0.77
h_1,6.67,5.65,5.47,6.29,4.76,4.51,1.3,2.12,1.51,1.55,1.4,1.34,1.6,1.25,1.25,1.18
g_1,6.96,6.69,5.95,6.62,6.53,4.52,1.84,1.32,1.91,1.9,1.56,1.87,1.17,2.0,1.57,1.6
c_0,7.16,4.16,6.52,10.61,5.95,6.06,2.94,2.51,1.47,2.97,2.36,1.88,1.75,1.86,1.88,1.33
d_0,7.12,9.94,4.2,7.79,6.19,6.16,2.88,3.12,2.15,1.51,1.86,2.28,1.7,1.74,1.93,1.76
b_0,7.99,6.23,6.76,9.28,10.9,5.52,3.25,2.99,1.36,2.46,1.51,1.87,1.76,2.29,1.91,1.63
f_0,11.56,8.4,7.55,7.3,7.31,6.19,2.95,2.13,2.45,2.36,2.49,1.52,2.15,2.27,2.32,1.2
h_0,9.76,8.83,7.95,8.44,7.73,5.81,3.49,3.32,2.39,2.58,2.54,2.04,2.38,1.82,2.37,1.98
a_0,10.41,9.19,9.06,8.72,9.64,11.23,4.03,3.09,2.57,3.15,1.68,2.59,2.59,1.57,2.89,2.03
e_0,13.13,9.32,10.73,10.05,9.49,7.66,3.62,3.43,2.99,2.82,2.9,1.66,2.49,2.28,1.53,1.8
g_0,11.63,12.47,8.68,8.92,9.37,9.43,3.16,4.37,2.92,3.07,2.93,3.1,2.0,2.79,2.69,2.76
