,f_1,d_1,e_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.51,0.68,1.19,0.71,0.69,0.4,0.82,0.87,0.75,0.76,0.88,0.48,0.74,0.64,0.44,0.79
d_1,0.89,1.54,0.71,0.61,0.66,0.62,0.91,0.61,0.77,1.46,0.89,0.84,1.0,0.88,0.81,0.78
e_1,0.69,0.74,1.53,0.9,0.66,0.64,0.84,1.45,0.8,0.8,0.93,0.97,0.99,0.72,0.62,0.87
c_1,0.78,0.82,0.65,1.57,1.12,0.68,0.7,0.77,0.76,0.51,0.73,0.77,0.95,0.73,0.62,0.85
b_1,0.7,0.89,0.76,0.6,1.61,1.05,0.95,0.85,0.75,0.87,0.54,0.79,1.05,0.57,0.75,0.96
a_1,1.06,0.86,0.79,0.73,0.69,1.73,0.91,0.96,0.92,0.91,0.87,0.89,1.09,0.61,0.94,0.82
h_1,1.22,0.94,0.99,1.18,0.77,0.79,1.77,1.05,1.34,1.03,1.14,1.08,0.95,0.84,0.93,1.46
d_0,1.03,0.82,0.75,1.72,0.97,0.82,1.25,1.62,0.97,0.88,1.31,1.21,1.16,1.01,1.03,1.11
g_1,1.01,1.38,0.88,1.09,0.9,0.71,1.09,1.11,1.84,1.14,1.17,1.54,1.2,1.16,1.05,1.1
c_0,1.16,0.81,1.12,0.94,0.77,0.9,1.27,1.47,1.11,1.67,2.19,1.23,1.39,1.03,1.04,1.3
b_0,1.1,1.07,1.0,1.23,0.72,0.77,1.28,1.23,1.17,0.94,1.72,1.16,1.58,1.85,1.25,1.27
f_0,1.02,1.07,0.83,1.17,1.05,0.96,1.16,1.27,1.06,1.34,1.16,1.73,1.29,1.05,1.91,1.1
h_0,1.56,1.04,1.0,1.09,0.87,0.75,1.09,1.33,1.47,1.09,1.05,1.18,1.08,0.98,1.02,1.55
a_0,1.09,1.09,1.03,1.12,1.18,0.71,1.57,1.42,1.04,1.49,1.09,1.44,1.72,1.79,1.08,1.49
e_0,1.53,1.07,0.76,1.26,0.96,0.92,1.43,1.31,1.34,1.39,1.32,0.98,1.65,1.42,1.84,1.17
g_0,1.1,1.46,0.9,1.13,0.96,1.03,1.03,1.21,0.86,1.28,1.27,1.68,1.1,1.12,1.29,1.04
