,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.12,2.35,5.07,4.89,5.42,4.51,1.31,0.94,0.88,1.48,0.83,1.03,0.77,0.78,1.64,0.74
f_1,4.22,1.12,4.48,3.94,4.04,3.64,0.95,1.02,0.94,1.64,0.94,2.0,0.48,0.98,0.87,0.77
c_1,3.56,5.06,1.12,6.36,4.67,4.03,1.46,0.49,1.54,1.41,0.92,0.83,0.66,0.97,1.01,0.72
d_1,6.63,4.93,4.75,1.11,5.32,4.27,1.29,2.11,0.77,0.86,0.94,1.07,0.63,0.95,0.84,0.38
b_1,6.2,7.31,3.14,6.46,1.13,6.56,1.87,1.4,1.95,1.79,2.73,1.04,0.8,1.49,1.13,0.93
a_1,8.34,8.62,8.94,8.69,3.53,1.14,2.26,1.88,1.59,2.53,2.21,1.48,1.5,2.76,1.34,1.48
h_1,15.33,16.53,16.04,15.54,16.58,14.37,1.75,3.47,3.46,4.03,3.0,2.82,3.2,2.8,2.63,2.13
d_0,10.28,19.28,19.25,30.23,20.85,19.07,5.98,2.34,3.35,5.45,3.68,3.84,2.45,3.27,3.55,3.36
c_0,20.33,24.07,32.71,11.17,22.24,16.73,5.56,5.3,2.29,6.2,4.38,3.76,2.86,3.54,3.66,2.56
g_1,20.44,25.26,21.88,17.72,20.53,20.41,3.74,4.45,4.05,1.76,4.58,3.96,2.29,3.39,3.74,4.44
b_0,18.49,20.98,29.3,15.18,53.38,19.62,6.17,3.99,2.22,6.38,2.16,4.05,2.76,3.71,3.74,3.33
f_0,21.15,55.18,27.39,21.4,24.26,24.59,6.58,4.54,4.74,3.65,4.72,2.24,4.06,3.45,3.94,2.23
h_0,28.31,34.49,26.95,27.92,30.33,28.75,14.63,5.98,6.46,9.16,5.75,6.92,6.55,5.59,6.12,3.92
a_0,35.05,35.87,30.08,26.36,46.02,61.85,9.52,6.2,6.46,7.35,3.78,5.97,4.46,2.51,4.73,4.76
e_0,49.07,42.7,34.73,31.68,32.55,33.46,8.23,7.23,7.19,8.43,7.84,3.84,5.08,8.04,2.71,4.27
g_0,37.94,44.28,40.11,31.99,39.25,36.45,8.06,8.46,7.36,14.7,6.64,7.01,4.14,6.77,7.72,6.94
