,e_1,d_1,f_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,g_0,e_0,a_0
e_1,1.52,0.6,0.67,0.84,0.65,0.42,0.76,1.46,0.8,0.83,0.75,0.85,0.88,1.04,0.49,0.75
d_1,0.64,1.54,0.7,0.6,0.62,0.54,0.78,0.56,1.32,0.66,0.92,0.82,0.9,0.68,0.89,0.72
f_1,1.03,0.65,1.54,0.75,0.49,0.63,0.67,0.7,0.73,0.66,0.69,0.36,0.86,0.79,0.58,0.66
c_1,0.63,0.65,0.69,1.54,1.17,0.46,0.88,0.63,0.44,0.68,0.62,0.81,0.8,0.73,0.67,0.58
b_1,0.72,0.76,0.86,0.5,1.6,1.07,0.73,0.79,0.76,0.76,0.48,0.7,0.89,0.78,0.53,0.51
a_1,0.9,0.78,0.77,0.81,0.42,1.75,0.97,0.95,0.91,0.9,1.01,0.95,0.87,0.87,0.64,0.49
h_1,0.94,0.93,1.11,0.91,0.83,0.63,1.73,1.05,0.98,1.1,0.97,0.95,0.87,1.17,0.89,0.95
d_0,0.73,0.57,1.1,1.64,0.9,0.71,1.11,1.61,0.82,0.95,1.12,0.9,1.16,1.0,0.83,1.01
c_0,1.0,0.94,1.01,0.85,0.85,0.77,1.04,1.25,1.6,0.89,1.82,1.19,1.15,1.12,1.05,1.0
g_1,0.72,1.39,0.83,1.01,0.82,0.58,1.03,1.06,1.13,1.82,1.15,1.54,0.87,0.91,0.98,0.84
b_0,0.92,1.0,1.08,1.07,0.7,0.56,1.33,1.05,0.95,0.95,1.7,1.15,1.29,1.22,0.84,1.62
f_0,0.94,1.12,0.67,0.98,1.03,0.71,1.25,1.26,1.19,0.85,1.21,1.66,1.27,1.27,1.42,0.93
h_0,1.07,1.06,1.24,1.01,0.83,0.75,0.85,1.21,1.15,1.4,1.09,1.08,0.93,1.44,0.78,0.82
g_0,0.79,1.55,0.87,1.15,0.88,0.83,1.22,1.15,1.16,0.92,1.0,1.51,1.15,0.85,0.87,0.91
e_0,0.68,1.0,1.1,1.15,1.02,0.96,1.28,1.17,1.32,1.03,1.42,1.18,1.7,1.48,1.81,0.96
a_0,0.92,1.07,0.97,1.21,1.1,0.71,1.26,1.3,1.23,1.18,1.08,1.26,1.51,1.29,1.07,1.72
