,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.0,0.79,1.2,1.6,1.64,3.73,23.56,27.38,42.96,31.06,47.51,65.42,87.3,111.75,125.09,135.22
f_1,1.27,1.0,1.1,1.43,1.56,2.84,15.75,29.33,27.54,31.57,43.74,56.89,60.61,98.76,113.49,133.7
d_1,0.83,0.91,1.0,0.95,1.24,2.74,17.46,18.75,23.54,34.93,38.65,42.85,62.89,81.64,86.97,86.65
c_1,0.64,0.7,1.06,1.0,1.59,2.43,13.07,19.88,15.55,20.66,26.47,36.19,55.38,66.44,79.66,107.38
b_1,0.61,0.64,0.8,0.63,1.0,3.04,13.9,19.47,18.21,24.74,23.62,33.88,50.06,62.46,75.86,75.11
a_1,0.27,0.35,0.37,0.41,0.33,1.0,6.9,8.05,8.86,11.0,15.91,19.56,20.96,38.85,36.5,41.13
h_1,0.04,0.06,0.06,0.07,0.07,0.15,1.0,1.71,1.28,1.54,2.15,2.52,3.59,4.29,5.14,7.66
g_1,0.04,0.03,0.05,0.05,0.05,0.12,0.58,1.0,0.97,1.22,1.69,2.37,2.22,3.57,3.59,4.33
d_0,0.02,0.03,0.04,0.07,0.06,0.11,0.73,0.96,1.0,1.01,1.53,1.92,2.65,3.38,4.52,4.95
c_0,0.03,0.03,0.03,0.05,0.04,0.09,0.68,0.8,1.01,1.0,1.94,1.92,2.17,3.14,3.73,4.0
b_0,0.02,0.02,0.03,0.04,0.04,0.06,0.46,0.58,0.68,0.52,1.0,1.16,1.99,3.48,2.66,3.19
f_0,0.02,0.02,0.02,0.03,0.03,0.05,0.41,0.4,0.47,0.53,0.81,1.0,1.36,1.79,2.93,2.07
h_0,0.01,0.02,0.02,0.02,0.02,0.05,0.27,0.45,0.37,0.44,0.51,0.72,1.0,1.28,1.42,1.99
a_0,0.01,0.01,0.01,0.02,0.02,0.03,0.23,0.28,0.29,0.33,0.28,0.47,0.76,1.0,1.08,1.28
e_0,0.01,0.01,0.01,0.01,0.01,0.02,0.21,0.3,0.23,0.3,0.38,0.33,0.69,1.01,1.0,1.2
g_0,0.01,0.01,0.01,0.01,0.01,0.02,0.13,0.22,0.19,0.26,0.32,0.48,0.52,0.77,0.83,1.0
