,e_1,d_1,f_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,f_0,b_0,h_0,a_0,e_0,g_0
e_1,1.0,0.88,0.78,1.22,0.96,0.75,0.55,0.46,0.41,0.6,0.47,0.4,0.38,0.34,0.33,0.34
d_1,1.11,1.0,1.0,0.89,0.93,0.72,0.52,0.37,0.55,0.4,0.41,0.37,0.35,0.36,0.35,0.27
f_1,1.29,0.98,1.0,0.89,0.86,0.69,0.45,0.49,0.4,0.42,0.36,0.36,0.28,0.34,0.26,0.35
c_1,0.82,1.18,1.1,1.0,1.3,0.77,0.51,0.5,0.45,0.31,0.41,0.33,0.37,0.3,0.35,0.32
b_1,1.05,1.09,1.16,0.76,1.0,1.2,0.58,0.54,0.45,0.45,0.4,0.38,0.41,0.33,0.39,0.36
a_1,1.34,1.39,1.45,1.32,0.81,1.0,0.66,0.63,0.54,0.64,0.53,0.7,0.43,0.51,0.48,0.4
h_1,1.83,1.97,2.25,1.91,1.71,1.45,1.0,0.96,0.79,0.8,0.77,0.8,0.71,0.58,0.61,0.75
g_1,2.14,2.66,2.09,2.0,1.87,1.65,1.01,1.0,0.95,0.91,0.98,0.94,0.62,0.69,0.75,0.76
c_0,2.39,1.89,2.43,2.28,2.35,1.8,1.25,1.03,1.0,1.24,0.91,1.27,0.83,0.93,0.75,0.8
d_0,1.67,2.59,2.35,3.22,2.25,1.63,1.22,1.07,0.8,1.0,0.93,0.93,0.85,0.75,0.78,0.85
f_0,2.15,2.39,2.93,2.3,2.59,1.77,1.32,1.03,1.08,1.08,1.0,0.98,0.97,0.81,1.22,0.7
b_0,2.4,2.62,2.74,3.3,2.49,1.49,1.28,1.08,0.78,1.05,0.97,1.0,0.97,1.24,0.84,0.81
h_0,2.59,2.96,3.57,2.83,2.46,2.17,1.39,1.7,1.21,1.27,1.06,1.05,1.0,0.92,0.86,1.13
a_0,3.05,2.77,3.05,3.13,2.97,2.0,1.68,1.43,1.15,1.26,1.19,0.85,1.18,1.01,1.05,1.15
e_0,2.97,2.94,3.8,2.77,2.51,2.07,1.61,1.35,1.31,1.19,0.84,1.25,1.15,1.0,1.0,1.0
g_0,2.84,3.63,3.0,3.02,2.76,2.48,1.33,1.35,1.27,1.21,1.44,1.23,0.93,0.85,1.04,1.0
