,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,5.95,2.24,1.77,2.94,2.1,2.09,7.72,9.16,8.51,17.08,11.43,12.87,15.97,11.78,8.79,17.63
f_1,3.71,6.05,2.04,2.25,1.92,1.63,8.37,7.38,8.64,10.1,10.14,5.02,14.48,11.26,9.37,13.71
d_1,2.06,2.38,6.49,1.68,2.41,2.5,7.94,8.37,18.98,6.66,12.53,10.97,18.05,11.96,12.46,15.74
c_1,2.02,2.16,2.19,7.14,4.28,1.98,6.54,6.98,5.15,9.6,6.33,12.14,14.13,9.89,12.73,15.67
b_1,1.94,2.09,2.32,2.2,7.62,4.67,7.95,7.37,9.78,8.98,6.5,11.65,17.09,7.69,11.63,15.89
a_1,2.14,2.5,2.51,2.09,1.95,10.54,9.38,7.6,11.25,11.22,10.42,12.7,16.45,9.36,11.11,19.14
h_1,2.37,3.22,2.43,2.66,2.06,2.31,17.62,12.28,10.17,9.87,12.11,11.79,12.4,13.08,10.69,22.24
g_1,1.88,2.25,3.67,2.51,2.26,2.21,8.37,20.87,11.77,9.72,11.47,19.81,19.81,12.4,14.87,13.92
c_0,2.47,2.74,2.68,2.01,1.74,2.74,10.0,8.16,18.94,11.13,23.19,12.96,18.21,16.4,13.13,17.97
d_0,2.58,2.56,1.54,4.58,2.59,2.01,8.76,9.04,7.55,17.9,11.82,12.83,16.53,11.5,13.19,18.72
b_0,2.3,2.66,2.93,2.31,1.7,2.02,9.51,11.13,12.96,10.88,20.16,13.99,19.15,27.52,13.15,18.5
f_0,2.11,2.0,2.81,2.9,2.54,2.7,8.84,11.0,11.09,11.51,12.37,21.52,19.71,13.47,23.7,15.89
h_0,2.44,3.35,2.9,2.52,2.13,2.11,6.68,11.09,11.07,10.39,11.91,11.21,13.75,11.38,11.85,24.92
a_0,2.55,2.55,2.75,2.31,2.86,1.48,9.33,10.86,12.53,11.77,12.12,12.64,19.65,25.82,13.15,18.13
e_0,1.62,2.73,2.53,2.96,2.62,2.48,10.22,9.75,12.32,12.78,12.17,13.87,18.53,10.12,27.42,19.49
g_0,1.98,2.22,3.65,2.95,2.61,2.38,7.22,7.26,11.48,8.82,12.94,20.11,15.34,13.73,12.53,11.83
