,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,f_0,b_0,a_0,h_0,e_0,g_0
e_1,1.06,1.31,2.2,2.15,2.07,1.55,0.91,0.83,0.75,0.72,0.67,0.64,0.58,0.5,0.77,0.47
f_1,2.38,1.06,2.0,2.27,1.74,1.78,0.58,0.78,0.54,0.55,0.77,0.55,0.48,0.34,0.45,0.5
d_1,2.23,2.44,1.05,1.94,2.14,1.82,0.82,0.6,0.62,0.93,0.53,0.59,0.52,0.43,0.63,0.31
c_1,2.1,2.2,2.93,1.06,2.5,2.23,0.9,0.75,0.72,0.45,0.63,0.57,0.65,0.58,0.6,0.49
b_1,2.45,3.01,2.56,1.53,1.07,2.91,1.08,0.94,0.94,0.78,0.83,1.32,0.73,0.65,0.57,0.63
a_1,3.53,3.45,3.21,3.27,1.82,1.07,1.35,1.45,1.02,1.35,1.02,1.13,1.61,0.82,0.98,0.88
h_1,5.03,6.45,4.71,4.99,5.04,4.19,1.32,2.58,1.55,1.61,1.42,1.49,1.42,1.63,1.36,1.27
g_1,5.71,6.4,6.6,5.88,5.54,4.53,1.76,1.32,1.84,1.57,2.03,1.66,1.53,1.09,1.66,1.66
c_0,6.23,7.95,4.42,12.21,6.58,5.44,2.73,2.38,1.5,2.37,1.87,2.48,2.23,1.74,1.95,1.5
d_0,4.64,7.08,8.27,8.05,7.23,4.99,2.81,2.93,2.1,1.53,1.88,1.99,2.1,1.89,1.96,1.57
f_0,7.39,11.67,7.35,7.55,7.22,5.69,3.2,2.01,2.2,2.27,1.47,1.96,2.02,1.78,2.26,1.13
b_0,7.61,8.35,6.28,10.36,10.93,5.94,2.53,2.97,1.27,2.23,2.33,1.49,2.28,1.84,1.71,1.6
a_0,9.38,9.63,9.2,9.25,11.01,9.13,3.55,3.83,2.32,2.5,2.61,1.53,1.51,2.29,1.77,1.92
h_0,9.03,11.31,10.32,9.22,7.98,6.41,3.98,3.29,2.35,2.46,2.62,2.49,2.37,2.49,2.12,2.14
e_0,13.28,12.89,8.52,10.1,10.91,6.71,3.52,4.11,2.86,2.66,1.6,2.69,2.83,2.4,1.56,1.83
g_0,10.42,11.58,11.41,11.14,10.26,8.62,3.24,4.1,2.82,3.29,3.48,2.89,2.94,2.01,2.66,2.67
