,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
e_1,1.0,0.87,1.33,1.68,2.01,3.87,21.95,29.92,42.11,35.03,48.26,55.18,83.56,103.96,146.54,165.82
f_1,1.15,1.0,1.22,1.33,1.66,3.86,15.63,28.95,28.61,28.79,43.59,40.24,65.12,91.61,109.83,117.77
d_1,0.75,0.82,1.0,0.95,1.28,2.91,15.96,17.39,23.07,34.89,36.69,35.89,61.02,69.85,82.64,106.86
c_1,0.59,0.75,1.02,1.0,2.07,2.88,14.53,21.37,15.89,21.53,25.75,31.37,56.9,68.04,87.84,99.44
b_1,0.5,0.59,0.76,0.49,1.0,2.96,10.11,14.89,12.92,20.54,24.72,23.82,43.59,49.31,71.45,68.16
a_1,0.25,0.26,0.35,0.35,0.35,1.0,5.82,6.85,8.01,9.19,12.78,12.01,22.39,25.88,32.83,37.26
h_1,0.05,0.06,0.06,0.07,0.1,0.18,1.0,1.62,1.44,1.48,2.24,2.12,4.2,5.07,7.39,6.62
g_1,0.03,0.04,0.06,0.05,0.06,0.15,0.63,1.0,0.9,1.09,1.51,1.94,2.45,3.25,4.57,5.25
d_0,0.02,0.03,0.04,0.06,0.08,0.13,0.68,1.05,1.0,1.0,1.54,1.53,3.35,3.25,5.1,5.04
c_0,0.03,0.03,0.03,0.04,0.05,0.12,0.61,0.9,0.97,1.0,1.93,1.31,2.54,2.95,3.97,4.64
b_0,0.02,0.02,0.03,0.04,0.04,0.07,0.45,0.66,0.66,0.53,1.0,1.01,1.66,3.01,2.71,3.24
f_0,0.02,0.02,0.03,0.03,0.04,0.08,0.46,0.52,0.63,0.77,0.96,1.0,1.94,2.32,2.58,4.44
h_0,0.01,0.02,0.02,0.02,0.02,0.04,0.24,0.4,0.3,0.39,0.59,0.52,1.0,1.12,1.96,1.61
a_0,0.01,0.01,0.01,0.02,0.02,0.04,0.2,0.29,0.3,0.32,0.36,0.5,0.91,1.0,1.29,1.29
g_0,0.01,0.01,0.01,0.01,0.01,0.03,0.13,0.22,0.2,0.24,0.36,0.41,0.51,0.79,1.0,1.06
e_0,0.01,0.01,0.01,0.01,0.01,0.03,0.16,0.18,0.19,0.22,0.32,0.24,0.62,0.73,0.87,1.0
