,e_1,f_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.47,0.13,0.16,0.14,0.16,0.14,0.2,0.21,0.14,0.36,0.18,0.16,0.21,0.15,,0.23
f_1,0.31,1.49,0.19,0.16,0.12,0.16,0.16,0.25,0.11,0.18,0.19,,0.18,0.18,0.15,0.17
d_1,0.16,0.16,1.51,0.2,0.13,0.14,0.21,0.35,0.16,,0.18,0.18,0.22,0.17,0.18,0.15
c_1,0.21,0.17,0.16,1.58,0.26,0.14,0.2,,0.22,0.13,0.19,0.23,0.21,0.15,0.15,0.23
b_1,0.15,0.18,0.2,0.14,1.64,0.21,0.26,0.17,0.15,0.21,,0.23,0.26,0.14,0.17,0.2
a_1,0.21,0.16,0.18,0.18,0.14,1.72,0.22,0.24,0.2,0.15,0.2,0.21,0.24,,,0.21
h_1,0.34,0.58,0.38,0.35,0.29,0.29,1.64,0.46,0.56,0.55,0.44,0.47,,0.36,0.32,0.47
c_0,0.49,0.38,0.3,,0.43,0.35,0.63,1.41,0.48,0.38,0.84,0.58,0.7,0.53,0.47,0.61
g_1,0.38,0.44,0.48,0.36,0.47,0.37,0.42,0.49,1.74,0.45,0.52,0.52,0.42,,0.36,
d_0,0.36,0.55,,0.76,0.41,0.4,0.43,0.67,0.5,1.42,0.68,0.43,0.66,0.36,0.39,0.64
b_0,0.44,0.47,0.48,0.39,,0.36,0.57,0.53,0.56,0.53,1.44,0.55,0.51,0.88,0.45,0.61
f_0,0.45,,0.46,0.45,0.42,0.44,0.51,0.54,0.55,0.74,0.47,1.48,0.6,0.42,0.75,0.54
h_0,0.74,0.89,0.61,0.56,0.52,0.35,,0.5,0.76,0.7,0.74,0.74,,0.4,0.49,0.84
a_0,0.55,0.46,0.57,0.41,0.43,,0.61,0.57,,0.74,0.41,0.48,0.87,1.61,0.51,0.46
e_0,,0.54,0.42,0.45,0.41,,0.79,0.63,0.57,0.54,0.53,0.46,0.77,0.49,1.66,0.63
g_0,0.49,0.64,0.95,0.55,0.47,0.43,0.56,0.7,,0.73,0.67,0.79,0.82,0.8,0.61,
