,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,0.89,0.22,0.14,0.22,0.15,0.1,0.15,0.33,0.13,0.14,0.17,0.14,0.1,0.15,0.04,0.13
f_1,0.36,0.89,0.19,0.16,0.13,0.08,0.15,0.13,0.12,0.16,0.14,0.04,0.11,0.16,0.07,0.1
d_1,0.21,0.19,0.9,0.14,0.14,0.09,0.19,0.07,0.13,0.31,0.16,0.14,0.12,0.17,0.14,0.14
c_1,0.19,0.19,0.17,0.88,0.27,0.12,0.17,0.16,0.1,0.05,0.11,0.12,0.1,0.16,0.1,0.15
b_1,0.16,0.2,0.22,0.18,0.88,0.19,0.16,0.17,0.13,0.13,0.04,0.13,0.08,0.15,0.12,0.1
a_1,0.22,0.21,0.15,0.22,0.15,0.87,0.19,0.13,0.13,0.15,0.16,0.14,0.04,0.14,0.1,0.1
h_1,0.26,0.35,0.23,0.19,0.17,0.11,0.57,0.18,0.17,0.16,0.16,0.14,0.14,0.1,0.12,0.2
d_0,0.23,0.24,0.11,0.42,0.18,0.12,0.19,0.42,0.17,0.14,0.2,0.16,0.13,0.2,0.1,0.14
g_1,0.21,0.17,0.36,0.22,0.16,0.1,0.22,0.18,0.56,0.23,0.17,0.26,0.15,0.2,0.14,0.11
c_0,0.25,0.27,0.27,0.13,0.12,0.1,0.25,0.21,0.18,0.42,0.36,0.18,0.16,0.2,0.13,0.18
b_0,0.23,0.3,0.21,0.23,0.09,0.1,0.25,0.21,0.19,0.18,0.41,0.18,0.28,0.2,0.13,0.17
f_0,0.17,0.12,0.29,0.27,0.17,0.13,0.24,0.22,0.18,0.22,0.21,0.4,0.17,0.22,0.29,0.2
a_0,0.3,0.22,0.23,0.25,0.18,0.06,0.26,0.2,0.16,0.17,0.15,0.16,0.41,0.2,0.13,0.13
h_0,0.26,0.36,0.25,0.21,0.17,0.1,0.11,0.2,0.22,0.19,0.16,0.16,0.13,0.11,0.12,0.24
e_0,0.1,0.27,0.29,0.23,0.2,0.17,0.23,0.18,0.18,0.25,0.22,0.17,0.14,0.22,0.37,0.17
g_0,0.23,0.2,0.37,0.21,0.21,0.09,0.22,0.16,0.09,0.16,0.19,0.26,0.13,0.19,0.14,0.09
