,d_1,f_1,e_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
d_1,1.04,1.74,1.78,1.39,1.41,1.25,0.57,0.57,0.5,0.4,0.45,0.4,0.33,0.42,0.39,0.23
f_1,1.4,1.04,1.73,1.57,1.38,1.15,0.47,0.56,0.44,0.6,0.44,0.48,0.3,0.4,0.35,0.35
e_1,1.59,1.14,1.04,1.83,1.7,1.34,0.58,0.62,0.49,0.68,0.48,0.52,0.42,0.44,0.46,0.42
c_1,2.12,1.62,1.34,1.04,1.73,1.3,0.65,0.34,0.54,0.56,0.44,0.47,0.37,0.41,0.44,0.36
b_1,1.95,2.05,1.68,1.28,1.05,2.12,0.74,0.51,0.66,0.64,0.67,0.51,0.44,0.44,0.45,0.37
a_1,2.34,2.65,2.47,2.35,1.3,1.06,0.86,0.67,0.77,0.88,0.92,0.79,0.58,0.85,0.62,0.53
h_1,4.29,4.63,4.34,4.31,3.85,3.55,1.24,1.28,1.24,1.65,1.19,1.28,1.06,0.93,1.09,1.08
d_0,6.03,4.42,3.35,5.89,4.96,4.6,2.21,1.35,1.46,2.09,1.63,1.75,1.27,1.29,1.39,1.45
c_0,3.76,5.54,5.32,5.95,4.96,4.44,2.13,1.93,1.32,1.85,1.73,1.42,1.29,1.4,1.25,1.06
g_1,5.64,5.05,4.69,5.38,4.95,4.18,1.71,1.56,1.48,1.25,1.49,1.6,0.91,1.14,1.26,1.13
b_0,4.98,6.0,5.49,7.22,5.91,4.34,2.2,1.77,1.18,1.93,1.32,1.54,1.36,1.5,1.53,1.14
f_0,6.07,7.01,6.02,6.08,5.78,4.97,2.1,1.85,1.7,1.59,1.78,1.35,1.4,1.53,1.69,1.0
h_0,7.39,7.65,6.55,6.76,6.39,5.36,2.94,2.07,1.96,2.56,1.89,1.99,1.67,1.71,1.61,1.64
a_0,6.9,8.22,7.14,7.77,8.87,7.2,3.25,2.21,1.87,3.21,1.58,2.15,1.63,1.41,1.93,1.6
e_0,7.54,10.29,8.76,7.77,7.17,6.45,2.93,2.62,2.46,2.42,2.34,1.4,1.77,1.98,1.44,1.54
g_0,9.96,8.67,8.13,9.15,8.09,7.5,2.81,2.47,2.65,3.4,2.56,2.59,1.62,2.11,1.96,1.99
