,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,a_0,e_0,g_0
e_1,1.06,1.44,2.06,2.48,2.22,2.09,0.89,0.89,0.88,0.61,0.75,0.6,0.53,0.6,0.82,0.5
f_1,2.46,1.06,2.22,1.97,1.94,1.58,0.73,0.85,0.65,0.63,0.87,0.67,0.39,0.55,0.49,0.57
d_1,2.68,2.48,1.06,2.18,2.52,2.07,0.82,0.61,1.05,0.8,0.62,0.66,0.54,0.53,0.64,0.32
c_1,2.28,2.78,3.16,1.06,2.73,1.76,0.96,1.08,0.46,1.06,0.65,0.67,0.55,0.68,0.69,0.49
b_1,2.69,3.0,2.65,1.72,1.07,2.78,1.19,1.2,0.78,0.97,0.9,1.24,0.71,0.81,0.68,0.67
a_1,3.77,5.01,3.48,4.59,2.15,1.07,1.69,1.34,1.2,1.1,1.21,1.19,0.89,1.41,0.83,1.1
h_1,5.38,6.4,6.18,5.86,4.65,4.28,1.32,2.36,1.62,1.71,1.6,1.77,1.88,1.37,1.32,1.33
g_1,6.36,7.64,6.78,7.18,5.7,7.25,1.92,1.34,2.09,1.96,2.12,1.94,1.27,1.95,2.02,1.85
d_0,4.29,7.41,9.5,8.18,7.17,6.38,3.08,3.09,1.59,1.98,2.13,2.13,1.55,1.95,1.91,1.91
c_0,7.99,8.77,4.29,11.59,6.46,6.2,2.91,2.61,2.63,1.52,2.2,3.16,2.01,2.23,1.81,1.71
f_0,7.3,12.43,7.67,8.56,7.58,6.8,2.94,1.98,2.25,2.0,1.53,2.25,1.98,2.18,2.28,1.61
b_0,8.32,9.41,7.5,9.65,10.65,6.31,3.21,2.74,2.47,1.35,2.08,1.53,1.95,2.64,2.22,1.78
h_0,8.7,11.76,9.05,8.93,9.82,7.87,4.94,3.69,2.99,2.72,2.67,2.34,2.81,2.22,2.43,2.31
a_0,8.87,14.02,11.34,9.33,10.33,12.49,4.23,3.15,2.83,2.66,2.58,1.77,2.5,1.62,2.35,2.1
e_0,12.6,14.05,9.97,9.92,11.07,10.09,3.75,2.97,3.46,3.46,1.86,2.78,2.44,2.7,1.63,2.33
g_0,13.93,11.43,13.17,11.53,9.82,8.13,3.58,5.53,3.18,2.9,2.93,2.9,2.07,3.05,2.53,3.17
