,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,0.18,0.92,1.64,1.96,2.15,1.52,0.46,0.34,0.51,0.34,0.36,0.49,0.29,0.22,2.63,0.25
f_1,1.66,0.17,1.89,1.67,1.59,1.54,0.29,0.35,0.58,0.3,0.27,1.39,0.37,0.16,0.35,0.28
d_1,2.07,1.63,0.16,1.81,1.35,2.05,0.48,1.41,0.31,0.31,0.38,0.25,0.36,0.25,0.25,0.15
c_1,1.36,1.84,1.94,0.15,1.62,1.41,0.53,0.18,0.48,1.25,0.34,0.31,0.32,0.26,0.34,0.23
b_1,1.56,1.77,1.8,0.95,0.13,1.72,0.5,0.39,0.59,0.47,1.53,0.38,0.38,0.3,0.29,0.2
a_1,1.71,2.38,1.86,1.29,0.95,0.09,0.49,0.35,0.67,0.37,0.43,0.38,1.41,0.25,0.24,0.32
h_1,0.97,1.11,0.81,0.99,1.0,0.82,0.07,0.2,0.26,0.17,0.15,0.15,0.18,0.31,0.18,0.17
d_0,0.46,1.16,2.54,0.96,0.96,1.34,0.34,0.07,0.25,0.19,0.16,0.16,0.24,0.14,0.19,0.19
g_1,0.96,1.06,0.95,1.16,0.87,0.96,0.25,0.19,0.05,0.19,0.16,0.17,0.18,0.1,0.17,0.39
c_0,1.07,0.88,0.44,3.05,1.17,0.87,0.32,0.26,0.23,0.07,0.22,0.18,0.19,0.15,0.2,0.17
b_0,0.72,1.02,0.83,1.0,,0.77,0.28,0.16,0.24,0.1,0.06,0.17,0.27,0.14,0.15,0.14
f_0,0.83,3.5,0.91,1.02,0.84,0.78,0.28,0.19,0.16,0.16,0.14,0.05,0.18,0.11,0.18,0.08
a_0,0.91,0.81,0.8,0.96,1.27,,0.26,0.21,0.23,0.18,0.1,0.14,0.05,0.13,0.2,0.17
h_0,0.93,0.88,0.83,0.92,0.96,1.0,0.72,0.19,0.21,0.17,0.19,0.15,0.2,0.44,0.15,0.15
e_0,3.04,1.25,0.58,0.88,0.71,0.89,0.28,0.24,0.22,0.19,0.22,0.08,0.2,0.16,0.04,0.16
g_0,0.85,1.14,0.83,0.74,1.24,1.12,0.25,0.21,0.53,0.17,0.21,0.14,0.25,0.09,0.16,0.33
