,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,e_0,a_0,g_0
f_1,1.7,1.28,0.79,0.82,0.71,0.6,0.9,0.97,0.87,0.91,0.66,0.97,0.96,0.68,0.85,0.81
e_1,0.91,1.72,0.96,0.74,0.73,0.74,1.01,1.49,0.94,0.97,1.0,0.95,1.07,0.82,1.0,0.9
c_1,0.86,0.69,1.92,0.76,1.39,0.9,0.93,0.78,0.92,0.55,0.91,0.67,0.93,0.86,0.89,1.08
d_1,0.81,0.82,0.61,2.06,0.72,0.77,1.04,0.69,1.11,1.77,1.19,1.28,0.97,1.15,0.96,0.99
b_1,0.82,0.74,0.88,0.77,2.17,1.53,0.89,1.04,0.87,0.79,0.9,0.63,0.96,1.0,0.88,0.99
a_1,0.85,0.77,0.91,0.85,0.82,2.75,0.88,0.98,0.83,0.82,0.94,0.98,1.02,1.0,0.85,0.97
h_1,1.06,0.87,0.94,0.92,0.75,0.68,1.83,0.86,1.31,0.94,0.99,1.08,0.78,0.9,0.96,1.24
d_0,0.89,0.76,1.38,0.7,0.94,0.81,1.05,1.34,0.92,0.75,1.16,0.96,1.02,0.96,1.03,1.19
g_1,0.85,0.78,0.75,1.41,0.74,0.67,1.09,0.86,2.1,1.07,1.56,1.18,1.03,1.29,1.34,0.89
c_0,0.92,0.96,0.71,1.03,0.67,0.7,1.14,0.97,1.22,1.56,1.16,1.99,1.13,1.27,1.39,1.16
f_0,0.68,0.65,0.97,0.99,0.95,0.94,1.15,1.06,1.14,1.27,1.77,1.22,1.14,2.35,1.12,1.27
b_0,0.94,0.92,0.91,1.0,0.64,0.64,1.09,0.88,1.22,0.98,1.09,1.78,1.15,1.2,2.04,1.27
h_0,1.12,0.83,0.82,0.91,0.8,0.76,0.86,0.99,1.23,0.93,1.06,1.14,0.94,1.19,1.14,1.3
e_0,0.79,0.66,0.96,1.0,1.0,0.8,1.21,1.03,1.04,0.97,1.19,1.19,1.27,2.26,1.35,1.35
a_0,1.04,0.85,0.97,0.87,0.83,0.6,1.02,0.94,0.95,0.97,1.05,1.02,1.16,1.15,2.19,1.19
g_0,0.67,0.79,0.89,1.27,0.92,0.8,0.99,0.84,0.89,1.21,1.61,1.23,1.08,1.56,1.04,0.94
