,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,0.67,2.25,2.18,1.94,2.15,1.69,0.63,0.69,0.9,0.59,0.73,1.69,0.5,0.65,0.67,0.6
e_1,1.29,0.66,2.39,2.13,2.19,1.79,0.91,0.93,1.03,1.05,0.76,0.82,0.65,0.65,2.29,0.72
c_1,2.36,1.73,0.65,2.58,2.32,2.03,0.94,0.51,0.92,1.02,0.73,0.67,0.74,0.74,0.72,0.55
d_1,2.2,2.76,2.08,0.64,2.21,1.8,0.91,2.12,0.6,0.95,0.84,0.68,0.54,0.65,0.71,0.45
b_1,2.2,2.15,1.38,2.43,0.63,2.83,1.38,0.82,1.05,0.99,2.19,0.98,0.63,0.95,0.71,0.57
a_1,3.11,2.9,2.19,3.3,1.42,0.57,1.4,1.03,1.49,0.96,1.5,0.95,0.85,2.38,0.93,0.75
h_1,3.19,2.72,2.69,2.45,2.17,2.62,0.59,0.96,1.5,0.91,0.94,1.0,1.3,0.85,0.95,0.96
d_0,3.27,1.71,3.51,3.81,2.81,2.27,1.52,0.68,1.13,0.85,1.01,0.83,0.87,1.04,0.8,1.06
g_1,3.5,2.67,3.16,3.15,3.13,2.17,1.01,1.34,0.56,0.99,1.02,1.1,0.67,0.83,0.91,1.48
c_0,4.15,2.74,8.48,1.64,3.01,2.72,1.49,1.34,1.31,0.63,1.01,1.12,0.96,1.23,0.86,0.99
b_0,3.22,2.96,4.11,2.25,5.34,2.85,1.6,1.07,1.34,0.72,0.6,1.27,1.01,1.38,0.93,1.14
f_0,5.46,3.03,3.63,3.28,2.49,2.58,1.47,1.45,0.92,1.12,1.07,0.62,0.95,1.08,1.37,0.68
h_0,3.68,3.46,3.49,3.13,3.42,2.62,2.55,1.4,2.09,1.0,1.03,1.08,1.62,1.13,1.09,0.94
a_0,3.71,4.15,3.13,3.51,3.83,,1.64,1.28,2.09,1.11,0.71,1.07,1.13,0.6,1.24,1.01
e_0,3.99,6.13,3.13,3.04,3.13,4.11,1.65,1.7,1.45,1.26,1.27,0.7,0.98,1.12,0.59,1.08
g_0,3.75,3.21,3.76,3.78,3.88,3.48,1.34,1.2,1.86,1.33,1.23,1.19,0.89,1.22,1.09,1.49
