,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,g_0,e_0
e_1,1.07,2.09,2.96,3.79,3.44,2.87,1.37,1.18,1.13,1.02,0.95,1.11,0.74,0.81,0.71,2.04
f_1,4.21,1.07,3.16,3.14,3.23,2.26,0.96,0.92,1.21,0.86,0.99,1.52,0.64,0.88,0.84,0.7
d_1,3.59,3.31,1.07,3.52,3.2,3.25,1.31,2.32,0.93,1.27,0.98,1.08,0.73,0.86,0.53,0.79
c_1,3.21,4.04,4.18,1.07,4.21,2.53,1.53,0.69,1.32,2.09,1.13,0.89,0.86,0.95,0.82,0.65
b_1,4.13,4.3,4.26,2.21,1.07,4.61,1.81,1.38,1.4,1.8,2.72,1.34,0.88,1.14,0.81,1.4
a_1,5.14,7.14,6.05,6.56,2.63,1.07,1.59,1.54,2.93,1.49,1.3,1.42,1.31,2.16,1.2,1.1
h_1,7.14,8.56,7.59,7.03,7.17,7.06,1.37,2.15,3.05,1.9,2.17,1.96,2.73,2.05,2.04,2.65
d_0,5.9,9.25,16.55,8.98,7.84,7.55,3.64,1.66,3.1,2.78,2.56,2.5,2.23,2.39,2.15,2.49
g_1,10.32,9.02,7.6,9.81,9.1,7.69,2.65,3.08,1.37,2.62,2.66,2.53,1.57,2.14,3.07,2.54
c_0,9.17,9.62,5.62,13.84,8.19,8.89,3.59,3.18,3.21,1.58,3.25,2.98,2.35,2.28,2.72,2.59
b_0,9.12,8.72,10.01,9.22,14.63,10.13,3.36,3.14,3.2,1.67,1.58,2.57,1.91,2.22,2.08,2.34
f_0,8.45,18.78,9.42,11.27,8.62,8.37,3.7,2.87,2.81,2.28,2.89,1.59,2.12,2.43,1.46,2.4
h_0,11.52,11.52,12.78,11.41,13.71,10.52,7.54,3.28,4.56,3.09,3.51,3.27,4.22,2.41,2.84,3.18
a_0,14.61,16.04,11.99,12.7,12.13,,5.49,3.79,5.06,3.65,2.67,3.33,3.54,1.67,3.22,3.63
g_0,11.96,14.13,15.56,13.81,16.92,11.14,3.67,4.0,7.55,3.01,3.72,3.98,2.86,3.31,4.12,3.71
e_0,21.66,20.13,15.74,15.7,9.66,12.12,3.65,3.82,4.72,3.51,3.62,2.35,3.19,3.35,2.42,1.69
