,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,g_0,e_0
e_1,1.0,0.77,0.96,1.17,0.97,0.85,0.71,0.89,0.65,0.62,0.65,0.72,0.62,0.53,0.62,0.66
f_1,1.3,1.0,0.95,0.94,0.9,0.67,0.59,0.64,0.68,0.6,0.69,0.53,0.55,0.52,0.63,0.46
d_1,1.03,1.05,1.0,0.95,0.88,0.87,0.72,0.64,0.6,0.88,0.63,0.66,0.58,0.63,0.45,0.53
c_1,0.86,1.08,1.06,1.0,1.33,0.83,0.78,0.5,0.68,0.6,0.59,0.58,0.6,0.56,0.56,0.5
b_1,1.05,1.11,1.15,0.75,1.0,1.33,0.83,0.71,0.69,0.84,0.72,0.71,0.58,0.55,0.57,0.71
a_1,1.17,1.51,1.16,1.2,0.75,1.0,0.74,0.8,0.95,0.7,0.7,0.71,0.8,0.74,0.7,0.59
h_1,1.41,1.74,1.43,1.28,1.19,1.26,1.0,0.96,1.11,0.88,0.94,0.89,0.91,0.73,1.09,0.88
d_0,1.15,1.5,1.59,2.0,1.52,1.18,1.07,1.0,0.97,0.82,0.89,0.91,0.95,0.94,0.9,0.92
g_1,1.51,1.47,1.65,1.44,1.44,1.11,0.9,1.01,1.0,0.94,1.03,1.12,0.78,0.9,0.85,0.89
c_0,1.53,1.64,1.12,1.66,1.2,1.49,1.18,1.18,1.01,1.0,1.41,1.1,1.02,0.96,1.05,1.02
b_0,1.56,1.45,1.56,1.73,1.4,1.41,1.08,1.16,0.99,0.71,1.0,1.08,0.91,1.21,0.97,0.86
f_0,1.41,1.82,1.56,1.62,1.52,1.32,1.11,1.06,0.88,0.93,0.95,1.0,0.9,0.86,0.78,1.27
h_0,1.62,1.85,1.67,1.68,1.63,1.13,1.13,1.03,1.31,0.97,1.09,1.11,1.0,0.81,1.07,0.9
a_0,1.87,1.87,1.62,1.7,1.89,1.28,1.35,1.05,1.18,0.98,0.85,1.16,1.3,1.0,1.01,1.12
g_0,1.62,1.62,2.15,1.84,1.82,1.46,0.93,1.12,1.21,0.91,1.01,1.28,0.9,0.97,1.0,1.27
e_0,1.65,2.04,1.88,1.95,1.56,1.68,1.1,1.03,1.06,1.0,1.1,0.81,1.11,0.95,0.81,1.0
