,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,2.44,1.43,1.25,1.96,1.47,1.42,3.08,3.07,4.96,2.9,3.47,3.52,4.22,3.34,3.11,4.28
f_1,2.19,2.49,1.29,1.39,1.32,1.32,2.58,2.73,3.66,3.29,3.2,2.48,3.58,3.44,2.27,4.15
d_1,1.47,1.7,2.56,1.25,1.44,1.45,2.87,2.73,2.5,4.93,3.57,2.91,4.47,3.29,3.63,3.71
c_1,1.16,1.47,1.69,2.56,2.47,1.41,2.99,2.7,2.59,2.27,2.26,3.07,3.52,3.25,2.98,3.94
b_1,1.47,1.51,1.6,1.26,2.73,2.6,2.62,2.71,3.01,3.28,2.86,3.47,3.83,2.59,3.25,4.11
a_1,1.5,1.54,1.61,1.64,1.24,3.27,3.39,2.97,3.33,2.93,3.57,3.83,4.32,2.75,3.68,3.98
h_1,1.4,1.95,1.63,1.53,1.62,1.53,4.38,3.91,3.16,3.32,3.43,3.28,3.45,3.22,3.33,4.57
g_1,1.35,1.5,2.06,1.59,1.46,1.5,2.42,4.53,2.82,3.31,3.04,5.03,3.79,3.41,4.58,4.16
d_0,1.32,1.44,1.29,2.63,1.48,1.45,3.18,3.12,4.17,2.46,3.84,3.72,4.23,3.65,3.6,4.48
c_0,1.81,1.6,1.41,1.54,1.28,1.49,3.24,3.03,3.81,4.4,5.42,3.61,4.66,4.19,4.16,4.77
b_0,1.54,1.7,1.66,1.87,1.14,1.11,3.16,3.35,3.19,3.06,4.6,3.87,4.51,6.1,3.71,5.05
f_0,1.47,1.48,1.79,1.74,1.54,1.36,3.19,2.78,3.35,3.2,3.32,4.64,4.7,3.88,6.55,4.51
h_0,1.53,2.02,1.44,1.58,1.45,1.46,2.82,3.67,2.94,3.2,3.39,3.4,3.68,3.95,3.57,5.2
a_0,1.66,1.6,1.61,1.68,1.66,1.26,3.31,3.08,3.4,3.12,2.91,3.5,4.06,5.15,3.68,4.42
e_0,1.26,1.88,1.62,1.86,1.49,1.61,3.54,2.86,3.31,3.4,4.13,2.85,4.19,4.05,5.39,4.18
g_0,1.45,1.36,2.04,1.57,1.43,1.71,3.07,2.63,3.06,3.26,3.56,4.4,4.22,3.58,4.09,3.22
