,f_1,c_1,e_1,b_1,d_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
f_1,5.74,1.56,2.4,1.25,1.52,1.41,5.21,6.38,7.11,5.7,8.84,3.3,7.37,11.43,6.62,10.21
c_1,1.46,6.27,1.38,2.93,1.45,1.32,4.74,7.66,2.44,5.43,3.89,6.23,5.54,10.67,6.71,10.68
e_1,1.72,2.0,6.38,1.52,1.09,1.26,6.87,13.15,6.85,4.81,7.85,7.18,7.34,10.99,2.73,11.34
b_1,1.54,1.54,1.44,6.79,1.55,2.78,5.68,5.89,6.33,5.72,3.98,7.41,5.58,9.34,9.5,9.59
d_1,1.53,0.93,1.58,1.42,7.04,1.74,5.25,4.01,13.71,5.84,9.53,10.25,8.98,11.85,8.79,11.78
a_1,1.68,1.51,1.48,1.45,1.92,10.23,6.05,5.86,6.37,5.15,8.25,8.36,4.11,9.49,8.35,10.95
h_1,2.37,2.24,1.65,1.69,1.9,1.65,17.99,8.48,7.56,9.15,9.16,8.31,8.99,9.08,8.32,16.65
d_0,1.96,3.48,1.69,2.03,1.11,1.39,6.63,15.49,5.87,5.56,6.1,9.43,8.64,14.42,11.37,13.58
c_0,1.94,1.3,1.91,1.39,2.14,1.77,7.17,8.75,17.89,6.91,18.92,10.9,13.46,16.16,10.94,13.95
g_1,1.65,1.85,1.78,1.46,3.41,1.48,5.4,7.12,9.04,21.54,8.59,12.95,9.8,13.93,9.84,8.62
b_0,2.12,1.94,1.87,1.0,2.12,1.42,6.47,10.22,10.13,6.66,19.73,9.2,21.53,15.25,9.93,16.11
f_0,1.62,2.21,1.48,1.8,1.9,2.15,7.6,10.78,9.84,6.24,10.52,21.32,10.45,14.37,20.2,13.78
a_0,2.41,2.07,2.11,1.64,1.62,1.15,7.87,9.96,8.0,6.66,9.59,9.82,25.79,16.8,11.56,12.62
h_0,2.8,2.03,1.56,1.87,1.78,1.79,3.78,9.88,8.08,9.03,9.93,8.52,10.2,8.25,10.95,15.7
e_0,2.38,1.74,1.17,2.11,2.25,1.82,7.95,7.79,8.97,7.41,8.98,10.1,10.84,13.69,26.26,17.65
g_0,1.57,1.8,1.46,1.84,3.01,1.88,7.58,8.4,8.3,4.48,9.36,14.82,9.51,14.59,13.61,8.82
