,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.0,1.28,0.89,0.84,0.88,0.81,0.58,0.58,0.67,0.65,0.59,0.49,0.49,0.55,0.57,0.61
e_1,0.78,1.0,0.95,0.95,0.88,0.93,0.77,1.02,0.75,0.77,0.59,0.66,0.56,0.57,1.07,0.61
c_1,1.12,1.06,1.0,1.06,1.33,0.86,0.66,0.46,0.56,0.44,0.62,0.63,0.61,0.53,0.49,0.54
d_1,1.2,1.05,0.95,1.0,0.91,0.87,0.69,0.69,0.58,0.79,0.7,0.57,0.67,0.64,0.41,0.53
b_1,1.13,1.13,0.75,1.1,1.0,1.21,0.9,0.66,0.65,0.59,0.5,0.64,0.68,0.52,0.48,0.7
a_1,1.24,1.08,1.16,1.15,0.82,1.0,0.96,0.81,0.93,0.83,0.77,0.9,0.64,0.91,0.72,0.51
h_1,1.76,1.25,1.54,1.4,1.11,1.03,1.0,0.92,1.14,0.87,0.93,0.78,0.79,0.82,0.84,0.78
d_0,1.65,0.9,2.33,1.38,1.56,1.22,1.13,1.0,1.16,0.97,1.02,0.91,1.09,0.83,0.92,0.81
g_1,1.51,1.35,1.8,1.71,1.59,1.17,0.89,0.89,1.0,0.86,1.17,1.2,0.8,1.04,0.87,0.79
c_0,1.58,1.32,2.21,1.26,1.63,1.21,1.07,1.08,1.19,1.0,1.52,0.93,1.1,0.89,0.88,0.91
b_0,1.63,1.57,1.76,1.34,1.98,1.26,1.13,1.01,0.84,0.65,1.0,0.9,0.94,1.43,1.06,0.95
f_0,1.95,1.51,1.77,1.81,1.45,1.01,1.28,1.09,0.8,1.11,1.08,1.0,1.07,1.15,1.56,0.67
h_0,2.07,1.75,1.66,1.49,1.46,1.56,1.22,0.96,1.25,0.89,1.1,0.95,1.0,0.89,0.92,1.11
a_0,1.83,1.76,1.97,1.69,1.67,,1.28,1.17,0.95,1.12,0.65,0.92,1.12,1.0,0.96,1.11
e_0,1.87,,2.1,2.36,2.04,1.26,1.21,1.04,1.26,1.16,0.97,0.68,1.14,1.01,1.01,0.65
g_0,1.64,1.68,1.96,1.95,1.41,1.85,1.27,1.18,1.27,1.13,1.07,1.41,0.88,0.92,1.41,1.0
