,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,g_0,a_0
e_1,1.0,0.73,0.96,1.24,1.05,0.84,0.68,0.74,0.9,0.68,0.74,0.65,0.58,0.64,0.68,0.62
f_1,1.37,1.0,0.88,0.91,0.91,0.72,0.65,0.73,0.61,0.62,0.63,0.64,0.54,0.53,0.51,0.53
d_1,1.05,1.14,1.0,0.93,0.88,0.82,0.73,0.54,0.81,0.8,0.62,0.73,0.59,0.61,0.54,0.6
c_1,0.81,1.11,1.08,1.0,1.28,0.93,0.69,0.62,0.48,0.44,0.6,0.52,0.58,0.54,0.55,0.52
b_1,0.96,1.09,1.14,0.79,1.0,1.25,0.73,0.73,0.69,0.72,0.56,0.57,0.75,0.61,0.6,0.63
a_1,1.2,1.37,1.22,1.09,0.8,1.0,0.86,0.96,0.77,0.84,0.82,0.75,0.7,0.6,0.66,0.66
h_1,1.41,1.56,1.4,1.41,1.36,1.11,1.0,1.05,0.86,0.91,0.85,0.91,0.85,0.66,0.92,0.73
g_1,1.38,1.33,1.77,1.63,1.43,1.06,0.95,1.0,0.86,0.86,1.25,0.99,0.77,0.86,0.77,0.72
d_0,1.11,1.69,1.24,2.12,1.42,1.32,1.17,1.13,1.0,0.86,1.03,0.86,0.92,0.84,0.89,0.89
c_0,1.57,1.57,1.23,2.01,1.38,1.08,1.11,1.22,1.12,1.0,1.15,1.37,1.01,0.94,0.91,0.99
f_0,1.27,1.69,1.6,1.64,1.71,1.22,1.12,0.81,0.99,0.89,1.0,0.93,0.86,1.44,0.69,0.92
b_0,1.54,1.51,1.39,1.88,1.67,1.41,1.12,1.03,1.15,0.72,1.07,1.0,1.05,0.99,1.01,1.23
h_0,1.64,1.9,1.75,1.69,1.4,1.39,1.14,1.3,1.01,0.94,1.17,0.93,1.0,0.88,1.19,0.88
e_0,1.56,2.11,1.69,1.86,1.49,1.67,1.39,1.14,1.3,1.13,0.7,0.94,1.13,1.0,0.87,0.84
g_0,1.55,1.88,1.95,1.88,1.65,1.47,1.03,1.39,1.08,1.08,1.4,1.03,0.84,1.11,1.0,0.93
a_0,1.67,1.88,1.82,1.87,1.59,1.42,1.38,1.43,1.07,1.02,1.06,0.84,1.16,1.15,1.11,1.0
