,f_1,e_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,8738.93,7851.38,5575.16,6733.36,9366.98,55574.19,6268872.71,11735387.04,15706659.79,29334931.59,46056025.42,27107886.99,87184405.16,138680353.34,318034371.91,228142082.32
e_1,3606.05,12112.46,6739.39,6256.73,14030.24,58442.42,6261699.35,11274037.42,27619560.38,30178002.2,45614202.43,44465277.13,104613332.7,148497915.56,351915396.29,245482049.16
c_1,3282.33,3986.69,16072.61,5888.5,24844.88,61854.87,6170497.69,11654111.96,15342900.21,15382403.32,29790817.33,47864486.39,92004230.28,117989749.47,351926840.61,352654743.35
d_1,3731.2,4502.78,4364.16,20632.98,10918.89,64145.1,6554776.99,13788518.23,9644660.69,56957991.62,60431251.49,57494480.24,100176429.59,149264672.07,419320061.93,382735971.69
b_1,3804.8,3407.53,6403.06,6405.7,46043.23,118342.28,6701017.09,12076105.56,14555038.74,27263828.68,26857170.12,44207122.45,105105056.84,86510140.49,375633239.4,295597540.31
a_1,4075.28,4124.34,5744.7,6197.2,13749.32,314739.41,6795796.38,11490777.62,16126712.01,29162623.49,44091527.05,40738186.1,107238158.25,88721000.82,355499294.54,234884594.16
h_1,5378.91,4733.08,4989.21,8116.3,12629.0,62690.44,14078395.02,15049159.81,15386014.64,30319839.52,55100202.36,44063303.21,87150953.65,153970669.87,507337819.39,319548723.83
g_1,3385.49,4268.83,5721.18,11702.42,13230.5,59799.57,6639593.87,31172503.14,16605458.22,33319806.35,60242907.12,77544159.19,115538905.0,192547851.34,339157990.68,491932765.07
d_0,3557.08,4149.18,11621.67,5487.15,15534.08,50360.11,7208192.11,14413462.54,28027346.08,22064446.12,46681833.27,55745414.95,109128350.56,155849179.13,388701657.94,426328782.42
c_0,3877.78,4968.62,5078.33,9254.57,9307.22,70854.83,6651136.17,14180118.82,19693281.67,57002967.61,105634388.8,59888455.7,129770816.18,223547810.05,512221485.92,492532021.22
b_0,4019.88,4864.78,5852.0,9433.14,8106.73,65907.79,7442636.46,15074859.53,15543134.68,37286287.23,98111540.33,55848076.86,117288099.57,348138456.18,479343293.49,440032207.57
f_0,3280.19,3445.8,6796.21,9132.45,13115.22,54193.61,7114035.76,16126951.1,18220253.06,37419391.2,64884812.28,105520645.21,136633695.88,194941782.59,462646284.72,914659707.49
h_0,4647.35,4299.07,6525.21,8828.31,14237.81,58087.6,5019925.02,18929808.47,16692792.21,32302072.74,58351525.42,51155206.1,77790244.3,163530590.06,495637982.2,378266664.99
a_0,4037.32,4935.22,6820.14,8402.59,12148.05,43588.91,8014378.19,14638928.18,16661998.96,27185075.84,62233658.43,59016515.13,110245863.79,352377196.37,406538505.86,485733073.49
g_0,3638.07,4200.35,5322.57,11925.95,12856.33,60652.24,6929521.86,12083594.48,12784012.57,30740001.94,60986833.09,85099915.38,110111971.11,172623323.33,323845382.07,482998566.54
e_0,4027.73,3146.3,6322.85,8331.36,19209.23,71785.24,7301247.22,15253199.88,17464105.55,31572480.47,68608851.28,59003579.65,125137100.76,168806891.2,445910505.8,1072833942.61
