,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,0.41,0.53,0.81,0.87,0.91,0.84,0.47,0.56,0.37,0.48,0.37,0.5,0.35,0.35,0.54,0.35
f_1,0.9,0.41,0.73,0.81,0.75,0.82,0.34,0.48,0.34,0.37,0.34,0.43,0.22,0.35,0.33,0.3
d_1,0.87,0.85,0.4,0.93,0.8,0.69,0.42,0.29,0.38,0.64,0.4,0.35,0.3,0.3,0.36,0.24
c_1,0.69,0.85,0.96,0.39,0.97,0.64,0.41,0.51,0.48,0.23,0.4,0.33,0.34,0.39,0.33,0.33
b_1,0.78,0.96,0.95,0.46,0.35,1.17,0.45,0.48,0.46,0.35,0.51,0.39,0.34,0.35,0.37,0.33
a_1,0.79,0.89,0.91,1.12,0.42,0.29,0.54,0.44,0.36,0.45,0.45,0.4,0.38,0.53,0.38,0.37
h_1,0.7,0.81,0.65,0.83,0.7,0.64,0.25,0.41,0.32,0.32,0.31,0.3,0.33,0.32,0.31,0.28
g_1,0.68,0.76,0.77,0.78,0.73,0.77,0.33,0.23,0.31,0.31,0.33,0.35,0.25,0.34,0.3,0.32
c_0,0.75,0.76,0.48,1.17,0.69,0.84,0.41,0.37,0.25,0.41,0.38,0.32,0.28,0.31,0.33,0.28
d_0,0.45,0.75,0.92,0.82,0.88,0.63,0.47,0.49,0.33,0.25,0.29,0.3,0.28,0.34,0.3,0.32
b_0,0.71,0.74,0.59,0.87,0.96,0.64,0.41,0.44,0.21,0.38,0.24,0.31,0.32,0.39,0.31,0.26
f_0,0.64,0.99,0.67,0.76,0.81,0.68,0.45,0.27,0.31,0.33,0.31,0.23,0.28,0.35,0.41,0.18
h_0,0.67,0.8,0.73,0.72,0.69,0.53,0.52,0.38,0.29,0.34,0.29,0.3,0.33,0.31,0.3,0.33
a_0,0.73,0.76,0.71,0.7,0.91,1.02,0.37,0.42,0.3,0.29,0.2,0.32,0.26,0.21,0.28,0.25
e_0,0.94,1.05,0.7,0.78,0.69,0.67,0.39,0.39,0.29,0.3,0.31,0.18,0.25,0.39,0.19,0.26
g_0,0.69,0.77,0.79,0.76,0.66,0.64,0.3,0.5,0.3,0.33,0.33,0.39,0.21,0.33,0.32,0.32
