,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
f_1,0.41,1.0,0.78,1.02,0.8,0.79,0.36,0.48,0.39,0.4,0.34,0.54,0.35,0.25,0.34,0.38
e_1,0.58,0.4,0.84,0.9,1.07,0.92,0.53,0.57,0.43,0.5,0.42,0.47,0.52,0.39,0.87,0.36
d_1,0.94,1.08,0.4,0.86,0.76,0.83,0.43,0.34,0.42,0.64,0.4,0.38,0.33,0.31,0.37,0.22
c_1,0.85,0.79,0.98,0.39,0.99,0.84,0.46,0.4,0.57,0.26,0.37,0.36,0.37,0.36,0.34,0.35
b_1,1.05,0.77,0.99,0.53,0.38,1.13,0.51,0.57,0.49,0.43,0.62,0.4,0.4,0.4,0.53,0.39
a_1,0.86,0.91,0.85,1.0,0.6,0.31,0.66,0.59,0.38,0.42,0.52,0.4,0.69,0.36,0.44,0.35
h_1,0.91,0.71,0.72,0.87,0.85,0.67,0.24,0.51,0.31,0.3,0.37,0.32,0.31,0.39,0.31,0.3
g_1,0.87,0.81,0.83,1.01,0.8,0.68,0.32,0.22,0.32,0.35,0.36,0.33,0.33,0.2,0.35,0.39
c_0,0.89,0.82,0.51,1.35,0.72,0.66,0.4,0.55,0.25,0.45,0.42,0.34,0.38,0.32,0.41,0.32
d_0,0.81,0.48,1.2,0.96,0.77,0.75,0.45,0.51,0.33,0.25,0.39,0.36,0.36,0.32,0.32,0.37
b_0,0.85,0.69,0.68,1.14,1.09,0.72,0.43,0.39,0.22,0.38,0.24,0.37,0.43,0.29,0.34,0.27
f_0,1.07,0.72,0.67,0.93,0.71,0.79,0.44,0.3,0.33,0.37,0.31,0.22,0.33,0.34,0.4,0.23
a_0,0.86,0.71,0.72,0.83,0.98,1.0,0.48,0.44,0.29,0.35,0.2,0.34,0.21,0.34,0.34,0.28
h_0,0.94,0.73,0.74,0.76,0.65,0.73,0.54,0.45,0.33,0.37,0.33,0.3,0.31,0.39,0.35,0.33
e_0,1.18,0.87,0.72,0.91,0.63,0.63,0.42,0.37,0.35,0.42,0.37,0.2,0.32,0.24,0.19,0.25
g_0,0.8,0.74,0.87,0.8,0.71,0.66,0.34,0.59,0.36,0.34,0.34,0.41,0.37,0.24,0.3,0.39
