,c_1,f_1,d_1,e_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,a_0,g_0
c_1,0.43,1.93,2.51,1.73,2.15,1.56,0.63,0.67,0.22,0.77,0.45,0.43,0.32,0.38,0.35,0.29
f_1,2.01,0.43,1.83,1.97,1.92,1.93,0.4,0.71,0.44,0.39,0.88,0.35,0.22,0.35,0.36,0.37
d_1,2.46,1.76,0.42,2.55,2.34,2.23,0.55,0.35,1.04,0.35,0.33,0.38,0.29,0.43,0.32,0.18
e_1,2.13,1.18,2.64,0.42,2.1,2.58,0.67,0.67,0.43,0.46,0.5,0.41,0.34,1.75,0.47,0.35
b_1,1.11,2.77,2.33,2.07,0.4,2.47,0.83,0.76,0.54,0.63,0.44,1.36,0.33,0.4,0.55,0.33
a_1,3.99,4.0,3.06,2.77,1.2,0.33,0.67,0.98,0.63,0.62,0.49,0.76,0.4,0.64,1.28,0.49
h_1,3.26,3.19,2.8,3.93,3.17,3.23,0.34,0.86,0.88,0.68,0.65,0.67,0.84,0.51,0.59,0.55
g_1,3.73,3.81,3.33,3.6,4.45,3.16,0.8,0.31,0.79,0.68,0.84,0.66,0.35,0.75,0.85,0.9
d_0,3.79,4.04,7.5,1.86,4.03,3.28,1.26,1.12,0.39,0.81,1.06,0.7,0.53,0.97,0.88,0.59
c_0,10.69,4.04,1.86,3.96,4.13,3.95,1.09,1.0,1.14,0.38,0.76,0.78,0.61,1.06,0.96,0.51
f_0,3.97,9.26,3.58,3.8,3.87,3.6,1.18,0.68,0.88,0.78,0.36,0.92,0.66,1.01,1.25,0.42
b_0,5.72,4.07,2.99,4.03,10.66,4.58,1.15,1.14,0.9,0.43,0.74,0.37,0.61,0.81,1.07,0.59
h_0,4.45,4.87,4.54,4.3,4.55,4.45,2.09,1.42,1.08,1.02,1.14,0.82,1.11,0.97,0.89,0.62
e_0,4.8,10.36,3.92,9.63,5.43,3.4,1.34,1.03,1.07,0.85,0.5,0.78,0.75,0.31,1.05,0.69
a_0,5.53,4.62,4.27,5.17,5.43,8.63,1.26,1.42,1.03,0.9,0.89,0.53,0.68,0.96,0.34,0.73
g_0,5.3,6.32,4.61,4.72,5.6,4.69,1.13,2.28,1.11,0.9,1.01,0.93,0.52,1.08,0.96,1.07
