,d_1,e_1,f_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,a_0,e_0,g_0
d_1,0.65,1.48,1.32,1.26,1.26,1.15,0.56,0.63,0.4,0.55,0.47,0.44,0.34,0.43,0.39,0.28
e_1,1.3,0.65,0.87,1.41,1.38,1.24,0.69,0.6,0.68,0.52,0.56,0.51,0.45,0.48,0.81,0.44
f_1,1.21,1.43,0.65,1.28,1.29,1.39,0.42,0.5,0.63,0.42,0.56,0.4,0.27,0.41,0.36,0.36
c_1,1.57,1.11,1.38,0.64,1.44,1.21,0.56,0.31,0.6,0.62,0.43,0.41,0.43,0.45,0.42,0.47
b_1,1.47,1.44,1.76,0.93,0.62,1.45,0.71,0.48,0.61,0.66,0.47,1.01,0.44,0.52,0.54,0.47
a_1,1.64,1.47,1.56,1.94,0.97,0.58,0.95,0.63,0.82,0.66,0.65,0.78,0.61,0.91,0.68,0.52
h_1,1.94,1.9,2.43,2.05,1.8,1.6,0.57,0.76,1.2,0.66,0.76,0.71,0.8,0.67,0.61,0.65
d_0,2.82,1.4,2.21,2.52,2.52,1.95,1.03,0.63,0.96,0.71,0.71,0.8,0.66,0.64,0.7,0.7
g_1,2.57,2.13,2.19,2.35,2.3,1.61,0.7,0.89,0.54,0.81,0.81,0.83,0.59,0.84,0.78,0.67
c_0,1.39,2.5,2.35,3.34,2.08,1.73,1.19,1.19,1.05,0.6,0.87,1.19,0.73,0.78,0.81,0.71
f_0,2.12,2.33,3.37,2.35,2.46,1.89,1.13,0.87,0.76,0.86,0.59,0.86,0.71,0.63,0.88,0.45
b_0,2.04,2.13,2.58,3.05,2.46,1.83,1.06,1.02,0.94,0.48,0.81,0.59,0.71,0.99,0.8,0.62
h_0,2.51,2.21,3.13,2.29,2.53,2.0,1.33,0.95,1.05,0.87,0.86,0.79,0.88,0.75,0.76,0.75
a_0,2.39,2.76,2.7,2.64,2.87,3.55,1.18,1.24,0.93,0.94,1.0,0.54,0.9,0.57,0.78,0.77
e_0,2.59,3.61,3.89,2.79,2.39,1.91,1.24,1.15,0.93,0.9,0.55,0.95,0.78,0.84,0.56,0.76
g_0,2.83,2.68,3.17,2.39,2.11,2.33,1.03,1.0,1.64,0.88,1.1,1.1,0.71,0.9,0.85,0.88
