,f_1,c_1,e_1,b_1,d_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
f_1,1.07,3.36,3.29,2.78,3.17,2.59,0.98,0.91,0.86,1.31,0.95,1.78,0.7,0.51,0.71,0.78
c_1,3.21,1.07,3.01,3.88,5.5,3.1,1.06,0.62,1.51,1.15,0.84,0.76,0.96,0.72,0.82,0.8
e_1,2.51,3.77,1.07,3.53,3.01,3.32,1.33,1.27,1.07,1.3,1.03,1.06,0.76,0.87,2.21,0.83
b_1,4.31,2.18,3.61,1.07,3.5,3.93,1.73,1.2,1.3,1.46,1.72,0.95,1.02,0.79,0.88,0.75
d_1,3.99,3.26,4.66,3.54,1.07,2.58,1.23,2.86,1.38,0.86,1.08,1.12,1.14,0.96,0.95,0.57
a_1,5.54,5.14,5.49,3.22,4.91,1.07,2.08,1.59,1.31,1.83,1.67,1.41,2.88,1.17,1.31,1.14
h_1,8.41,9.36,6.36,7.35,8.22,5.98,1.39,2.4,2.19,3.8,2.33,1.99,2.09,3.74,1.6,1.65
d_0,9.31,9.33,5.17,8.89,11.78,9.14,3.2,1.65,2.52,2.93,1.81,1.99,2.23,1.59,2.31,1.59
c_0,8.85,23.95,8.72,8.92,4.99,9.21,3.39,3.35,1.6,3.02,2.79,2.41,2.6,2.3,2.15,1.92
g_1,9.15,9.24,9.19,7.77,9.78,7.74,2.62,3.02,2.75,1.39,2.47,2.47,2.55,1.98,2.05,3.34
b_0,9.14,16.13,9.65,17.95,8.23,8.65,3.7,4.18,1.88,3.92,1.64,2.53,3.39,2.24,2.57,2.66
f_0,18.64,14.92,11.82,10.02,7.83,8.26,4.26,3.24,2.92,2.88,3.0,1.64,2.7,2.46,3.05,1.58
a_0,13.53,15.0,12.66,14.49,10.63,12.34,5.39,4.41,3.03,4.58,2.02,3.97,1.66,3.18,3.47,2.59
h_0,13.5,12.66,11.91,14.5,11.49,12.59,5.58,3.91,3.55,4.43,3.46,3.59,2.79,4.52,3.11,2.64
e_0,15.84,15.97,32.29,12.07,13.15,11.92,7.05,3.86,3.86,5.06,3.37,2.58,2.86,3.06,1.71,2.65
g_0,15.1,14.18,13.32,15.02,15.17,12.19,4.52,4.56,4.16,7.29,3.02,4.75,4.17,3.11,3.01,4.57
