,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,b_0,g_1,f_0,h_0,a_0,e_0,g_0
e_1,8059.16,3510.75,7452.46,6095.98,13050.09,51650.25,6757088.67,22347855.57,21547759.71,55518009.92,41719702.22,79029383.23,201183564.64,169090884.24,144529772.59,495231664.46
f_1,5147.04,8233.45,5716.66,8031.35,11878.74,41961.04,5427266.23,13425588.11,21977259.37,45752482.29,35357678.99,44445067.04,186137290.91,177929816.52,172550320.89,428258747.89
c_1,2689.22,3134.36,16929.73,7973.37,22846.47,53989.87,6594342.5,12944486.66,12291058.53,31213038.89,37417050.51,63218075.27,201796808.93,134599193.34,217518182.14,445388362.76
d_1,3307.32,3459.2,4005.58,24904.64,11155.78,54665.95,7361947.27,8189307.87,50334687.74,67020188.48,49757690.64,93875657.9,231843403.99,185243762.81,246813899.39,537713415.52
b_1,2838.2,3327.17,6050.57,7909.8,43366.47,115091.18,6141039.17,13807500.82,22947489.53,32947675.6,37323374.82,73519119.39,201929680.32,128906011.24,213294625.52,418605799.34
a_1,2857.87,3717.39,6335.69,7746.4,10926.41,268683.02,7066058.09,13157355.75,31271574.96,54752754.59,43186682.24,83169234.76,284406134.77,119505805.65,232102027.19,556514417.05
h_1,3283.71,4979.66,6481.08,9565.43,12518.39,53996.96,14150153.58,11661822.47,27402586.13,61081555.57,65476572.52,99166937.07,158673613.81,175625579.93,232479413.13,675200576.3
d_0,3420.96,3197.4,12151.72,5729.23,15057.21,56681.82,7643484.65,23271940.09,19134687.55,52816660.01,46407578.81,84026631.76,216989071.72,166434425.11,239700414.42,585638933.92
c_0,3853.18,3858.76,4492.25,9784.2,10921.27,60018.05,6794171.76,14109903.69,48235489.55,107003900.62,58086783.35,103664478.16,264708605.45,224870182.41,219656660.65,583591395.27
b_0,4014.41,3954.14,7149.66,8499.27,8411.27,37948.91,7869641.08,16023617.4,33216621.67,114039721.67,55952491.14,88548418.53,246013144.51,428389207.54,243376885.62,633469926.28
g_1,3322.27,3278.37,6003.22,12924.11,12193.11,53610.36,8323743.61,11358796.63,27800347.14,57475907.46,140401204.18,138808248.86,222683448.67,196115230.92,234878010.25,479220748.01
f_0,2528.5,3045.97,7120.74,10971.33,13072.25,62834.8,8210326.04,14436562.28,30525871.37,64096906.61,66147361.55,197545927.18,279697196.64,190731675.56,545673247.34,641466726.75
h_0,3414.33,4665.06,6539.19,10340.82,12797.94,55824.09,5970152.96,13284783.91,27504305.92,60995763.89,70926880.62,88602256.71,185077898.81,180208655.52,235407365.43,753233619.04
a_0,3773.87,3890.81,6937.05,9738.99,10683.15,38638.89,8310918.12,15806371.26,27608620.61,57018712.74,62325945.06,94409348.34,218110354.96,413217338.5,281583895.92,621368824.43
e_0,2239.19,4115.28,6054.53,12481.33,14489.93,62553.15,7683455.64,12755426.38,31590633.2,59686519.29,67267012.92,96634878.88,295021680.2,204304658.14,540885069.75,606661870.01
g_0,2888.93,3157.76,7018.25,14279.32,13674.98,54684.14,7434323.7,11619337.33,30009370.23,52712279.26,38780895.27,156576513.9,248246421.98,178330868.36,247669993.41,464338116.09
