,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,0.93,0.09,0.14,0.1,0.1,0.06,0.08,0.04,0.08,0.07,0.06,,0.06,0.05,0.04,0.04
d_1,0.12,0.93,0.09,0.09,0.07,0.06,0.08,0.06,0.1,,0.05,0.08,0.05,0.04,0.06,0.04
e_1,0.11,0.11,0.93,0.08,0.08,0.07,0.08,0.06,0.06,0.1,0.05,0.05,0.07,0.04,0.06,
c_1,0.13,0.1,0.12,0.93,0.13,0.09,0.07,0.06,,0.07,0.04,0.06,0.06,0.04,0.06,0.04
b_1,0.11,0.14,0.1,0.11,0.93,0.12,0.08,0.06,0.06,0.06,,0.06,0.06,0.04,0.04,0.05
a_1,0.16,0.12,0.14,0.07,0.08,0.93,0.11,0.07,0.07,0.06,,,0.07,,0.06,
h_1,0.34,0.25,0.28,0.3,0.25,0.16,0.71,0.19,0.21,0.18,0.17,0.14,,0.09,0.2,0.13
g_1,0.37,0.39,0.28,0.26,0.27,0.21,0.2,0.71,0.2,0.12,0.18,0.21,0.17,0.16,,
c_0,0.37,0.32,0.36,,0.26,0.26,0.23,0.23,0.58,0.23,0.33,0.22,0.21,,0.2,0.11
d_0,0.41,,0.3,0.55,0.3,0.28,0.22,0.29,0.19,0.56,0.25,0.17,0.2,0.13,0.15,0.18
b_0,0.33,0.43,0.41,0.33,,,0.27,0.19,0.19,0.22,0.56,0.25,0.27,0.29,0.2,0.17
f_0,,0.34,0.39,0.34,0.37,,0.29,0.25,0.21,0.26,0.2,0.57,0.23,0.14,0.18,0.24
h_0,0.49,0.59,0.49,0.47,0.38,0.37,,0.33,0.36,0.28,0.23,0.21,,0.22,0.31,0.18
a_0,0.36,0.45,0.51,0.36,0.4,,0.34,0.19,,0.23,0.15,0.22,0.27,0.6,0.22,
g_0,0.58,0.62,0.42,0.42,0.47,0.4,0.27,,0.3,0.37,0.25,0.35,0.23,0.24,,0.24
e_0,0.36,0.41,,0.42,0.37,,0.28,,0.33,0.19,0.24,0.21,0.27,,0.21,0.57
