,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,10.67,1.85,0.6,0.67,0.54,0.56,0.99,0.95,0.71,0.8,1.03,0.66,0.99,0.91,0.64,0.97
e_1,0.75,11.12,1.0,0.5,0.78,0.7,0.92,2.33,0.88,0.85,0.88,0.9,0.8,0.82,0.72,0.97
c_1,0.64,0.53,12.11,0.64,1.91,0.82,0.93,0.79,0.87,0.47,0.52,0.91,0.86,1.0,1.0,0.85
d_1,0.83,0.59,0.52,15.47,0.55,0.63,0.93,0.6,1.11,3.05,1.49,0.92,1.15,1.13,1.09,0.99
b_1,0.67,0.6,0.7,0.61,13.36,1.85,0.92,0.81,0.82,0.73,0.53,1.11,0.95,0.76,0.99,0.88
a_1,0.66,0.65,0.77,0.98,0.58,18.88,1.05,0.93,1.23,0.95,1.06,1.08,1.28,0.61,1.01,1.01
h_1,1.42,0.76,0.76,1.06,0.6,0.55,3.03,0.82,1.36,0.97,1.05,1.07,0.94,1.04,1.03,1.55
d_0,0.76,0.7,2.04,0.51,0.87,0.76,0.98,1.81,1.0,0.62,1.09,0.89,0.85,1.07,1.07,1.04
g_1,0.63,0.58,0.88,1.68,0.67,0.56,0.83,0.83,3.99,1.18,1.18,2.14,0.88,0.93,1.48,0.82
c_0,0.87,0.76,0.65,1.01,0.53,0.72,1.0,1.14,1.23,2.41,3.29,1.06,1.51,1.72,1.29,1.34
b_0,0.87,0.83,0.91,1.02,0.46,0.46,1.12,1.16,1.39,1.24,3.31,1.37,1.31,3.5,1.13,1.25
f_0,0.6,0.59,0.87,1.16,0.81,0.66,1.01,1.1,1.12,1.12,1.23,2.82,1.48,1.15,3.28,1.24
h_0,1.18,0.78,0.7,0.99,0.75,0.66,0.82,0.77,1.42,1.01,1.02,1.23,0.72,1.13,1.12,1.6
a_0,0.8,0.83,0.99,1.07,0.65,0.5,1.28,1.02,1.17,0.98,1.39,1.25,1.17,2.86,1.59,0.93
e_0,0.8,0.39,0.85,1.1,0.74,0.77,1.3,0.97,1.15,1.2,1.58,1.31,1.49,1.37,3.26,1.54
g_0,0.8,0.59,0.76,1.89,0.74,0.76,0.92,0.71,0.77,1.01,1.02,1.93,1.31,1.28,1.24,1.0
