,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,15.34,0.6,0.41,0.69,0.54,0.55,0.78,2.21,0.86,0.8,1.14,1.05,0.85,0.93,0.34,1.02
f_1,1.11,17.15,0.55,0.46,0.44,0.4,0.74,0.69,0.78,0.95,0.88,0.29,0.95,0.97,0.65,0.76
d_1,0.53,0.52,20.67,0.39,0.47,0.49,1.0,0.33,0.93,2.17,1.09,1.02,1.03,1.06,1.35,1.07
c_1,0.45,0.51,0.5,18.95,1.14,0.64,0.85,0.84,0.68,0.25,0.68,0.89,0.85,1.01,0.91,1.14
b_1,0.37,0.54,0.67,0.55,22.28,1.17,0.78,0.9,0.89,0.71,0.21,0.97,0.71,0.9,1.19,0.71
a_1,0.56,0.58,0.41,0.7,0.54,33.52,0.99,0.67,0.86,0.88,1.11,1.02,0.31,0.83,0.9,0.73
h_1,0.7,1.13,0.73,0.59,0.63,0.59,5.6,0.96,1.2,0.9,1.04,1.06,1.3,0.58,1.11,1.65
d_0,0.6,0.66,0.29,1.83,0.66,0.68,1.0,3.31,1.23,0.81,1.42,1.21,1.12,1.32,0.94,1.05
g_1,0.52,0.45,1.37,0.69,0.58,0.53,1.22,0.97,7.47,1.44,1.17,2.21,1.35,1.3,1.37,0.79
c_0,0.64,0.8,0.89,0.38,0.4,0.52,1.4,1.22,1.33,3.54,3.11,1.39,1.44,1.31,1.29,1.45
b_0,0.6,0.91,0.66,0.73,0.29,0.55,1.45,1.18,1.43,1.09,3.82,1.35,3.02,1.29,1.31,1.34
f_0,0.41,0.3,1.01,0.93,0.64,0.75,1.35,1.29,1.29,1.35,1.45,4.23,1.64,1.45,3.55,1.67
a_0,0.82,0.62,0.72,0.86,0.67,0.34,1.49,1.11,1.1,1.01,1.02,1.21,5.32,1.33,1.25,0.98
h_0,0.7,1.18,0.79,0.66,0.62,0.56,0.55,1.1,1.69,1.17,1.08,1.24,1.2,0.66,1.12,2.06
e_0,0.23,0.78,0.97,0.74,0.75,1.01,1.24,1.02,1.34,1.57,1.61,1.3,1.3,1.47,4.93,1.32
g_0,0.59,0.52,1.4,0.66,0.82,0.49,1.21,0.88,0.57,0.9,1.29,2.22,1.16,1.24,1.34,0.65
