,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,e_0,a_0,g_0
f_1,1.0,1.31,0.83,0.91,0.75,0.64,0.39,0.39,0.4,0.38,0.36,0.36,0.28,0.29,0.23,0.34
e_1,0.77,1.0,1.19,0.85,0.85,0.79,0.48,0.61,0.46,0.39,0.47,0.39,0.42,0.34,0.37,0.29
c_1,1.21,0.84,1.0,1.13,1.32,0.68,0.45,0.31,0.44,0.32,0.38,0.33,0.37,0.27,0.3,0.35
d_1,1.1,1.18,0.89,1.0,0.91,0.72,0.55,0.49,0.39,0.6,0.46,0.48,0.39,0.36,0.32,0.27
b_1,1.33,1.19,0.77,1.08,1.0,1.3,0.56,0.53,0.54,0.47,0.43,0.41,0.43,0.35,0.39,0.36
a_1,1.54,1.27,1.46,1.41,0.76,1.0,0.67,0.66,0.55,0.59,0.52,0.53,0.5,0.45,0.46,0.43
h_1,2.65,2.03,2.27,1.85,1.69,1.39,1.0,0.79,1.07,0.81,0.75,0.85,0.62,0.52,0.62,0.72
d_0,2.49,1.63,3.17,2.2,1.98,1.54,1.22,1.0,1.05,0.9,1.0,0.94,0.79,0.62,0.68,0.95
g_1,2.53,2.15,2.21,2.6,1.84,1.8,0.91,0.93,1.0,0.83,1.14,0.84,0.64,0.74,0.77,0.67
c_0,2.5,2.59,2.89,1.64,2.02,1.6,1.25,1.12,1.2,1.0,0.96,1.41,0.93,0.82,0.93,0.77
f_0,2.75,2.09,2.56,2.25,2.3,1.94,1.37,1.04,0.86,1.07,1.0,0.99,0.91,1.19,0.8,0.66
b_0,2.82,2.58,3.11,2.09,2.43,1.89,1.24,1.09,1.19,0.73,0.97,1.0,0.87,0.75,1.12,0.85
h_0,3.56,2.57,2.78,2.6,2.28,1.99,1.59,1.25,1.47,1.06,0.98,1.11,1.0,0.81,0.86,1.0
e_0,3.52,3.03,3.54,2.81,2.86,2.23,1.89,1.61,1.38,1.18,0.89,1.26,1.27,1.0,1.12,1.0
a_0,4.11,2.99,3.42,3.09,2.65,2.04,1.67,1.4,1.23,1.12,1.32,0.91,1.15,0.89,1.0,1.13
g_0,2.82,3.36,2.96,3.77,2.68,2.28,1.39,1.13,1.5,1.36,1.47,1.23,1.01,0.97,0.95,1.0
