,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,5.81,3.89,1.88,2.38,1.94,1.81,7.92,6.79,8.4,10.89,10.16,5.89,14.21,10.37,8.54,14.04
e_1,2.23,5.97,1.99,2.86,2.11,2.24,7.76,7.97,8.45,19.0,10.89,10.69,17.85,11.31,8.51,16.11
d_1,2.19,1.99,6.51,1.63,2.11,2.1,8.73,9.86,18.37,6.41,12.22,11.53,16.25,13.01,12.07,19.58
c_1,2.28,1.75,2.18,6.89,4.21,2.18,7.06,8.1,5.53,10.37,7.02,9.62,14.16,11.59,10.62,13.87
b_1,2.12,2.12,2.0,2.06,7.59,5.19,7.85,7.65,9.11,9.53,6.99,9.78,14.33,8.84,11.31,14.41
a_1,2.7,2.07,2.36,2.63,1.89,10.95,8.73,7.9,10.64,11.56,11.21,11.57,18.19,6.39,13.75,12.56
h_1,3.56,2.29,2.6,2.1,2.32,2.47,17.79,9.93,10.91,10.25,10.97,10.47,13.24,10.88,12.26,24.46
g_1,2.18,1.99,3.54,2.4,2.54,2.34,8.93,21.74,11.79,7.8,12.44,18.34,20.16,13.01,13.32,15.01
c_0,2.66,2.39,2.63,1.91,1.93,2.24,9.47,8.86,19.75,12.25,22.95,12.0,18.86,15.84,13.68,21.98
d_0,2.68,2.29,1.49,4.6,2.42,2.31,7.98,8.91,6.38,17.29,10.94,10.58,19.75,12.96,13.68,17.61
b_0,2.87,1.99,2.61,2.65,1.99,1.79,9.51,8.29,12.82,10.19,21.04,11.11,19.48,25.56,15.42,20.41
f_0,2.36,1.81,2.53,2.46,2.43,2.72,10.24,10.19,13.07,11.5,14.52,24.43,20.53,14.74,29.14,21.38
h_0,3.31,2.31,2.58,2.75,2.31,1.86,6.27,12.11,10.72,11.44,11.19,12.37,12.99,13.23,15.72,23.62
a_0,2.72,2.38,2.2,2.77,2.66,1.84,10.53,8.82,11.07,11.61,12.88,12.46,20.57,25.21,15.65,22.55
e_0,3.34,2.01,2.48,2.84,1.88,2.39,10.93,9.73,12.67,11.2,12.89,12.92,19.87,14.2,29.95,19.75
g_0,1.89,2.08,3.74,2.45,2.35,2.63,8.52,8.52,12.86,9.0,12.07,19.09,16.64,11.17,14.81,16.55
